DOY,LAI,DOY,Model,MODIS
135,0.61,1,0.11,0.38
147,1.72,2,0.11,0.38
162,2.61,3,0.11,0.38
211,3.67,4,0.11,0.37
243,3.04,5,0.11,0.37
247,2.59,6,0.11,0.37
281,0.09,7,0.11,0.37
,,8,0.11,0.37
,,9,0.11,0.37
,,10,0.11,0.37
,,11,0.11,0.36
,,12,0.11,0.36
,,13,0.11,0.36
,,14,0.11,0.36
,,15,0.11,0.36
,,16,0.11,0.36
,,17,0.11,0.36
,,18,0.11,0.36
,,19,0.11,0.36
,,20,0.11,0.36
,,21,0.11,0.36
,,22,0.11,0.36
,,23,0.11,0.36
,,24,0.11,0.36
,,25,0.11,0.36
,,26,0.11,0.36
,,27,0.11,0.36
,,28,0.11,0.36
,,29,0.11,0.36
,,30,0.11,0.36
,,31,0.11,0.36
,,32,0.11,0.36
,,33,0.11,0.36
,,34,0.11,0.36
,,35,0.11,0.36
,,36,0.11,0.36
,,37,0.11,0.36
,,38,0.11,0.36
,,39,0.11,0.36
,,40,0.11,0.36
,,41,0.11,0.36
,,42,0.11,0.36
,,43,0.11,0.36
,,44,0.11,0.36
,,45,0.11,0.36
,,46,0.11,0.36
,,47,0.11,0.36
,,48,0.11,0.36
,,49,0.11,0.36
,,50,0.11,0.36
,,51,0.11,0.36
,,52,0.11,0.36
,,53,0.11,0.36
,,54,0.11,0.37
,,55,0.11,0.37
,,56,0.11,0.37
,,57,0.11,0.37
,,58,0.11,0.37
,,59,0.11,0.37
,,60,0.11,0.37
,,61,0.11,0.37
,,62,0.11,0.38
,,63,0.11,0.38
,,64,0.11,0.38
,,65,0.11,0.38
,,66,0.11,0.38
,,67,0.11,0.38
,,68,0.11,0.38
,,69,0.11,0.38
,,70,0.11,0.38
,,71,0.11,0.39
,,72,0.11,0.39
,,73,0.11,0.39
,,74,0.11,0.39
,,75,0.11,0.39
,,76,0.11,0.4
,,77,0.11,0.4
,,78,0.11,0.41
,,79,0.11,0.42
,,80,0.11,0.43
,,81,0.11,0.44
,,82,0.11,0.44
,,83,0.11,0.45
,,84,0.11,0.46
,,85,0.11,0.47
,,86,0.11,0.48
,,87,0.11,0.48
,,88,0.11,0.49
,,89,0.11,0.5
,,90,0.11,0.51
,,91,0.11,0.51
,,92,0.11,0.52
,,93,0.11,0.53
,,94,0.11,0.54
,,95,0.11125,0.55
,,96,0.11125,0.55
,,97,0.1125,0.56
,,98,0.1125,0.57
,,99,0.11375,0.58
,,100,0.0475,0.59
,,101,0.05,0.6
,,102,0.05125,0.6
,,103,0.055,0.61
,,104,0.05875,0.62
,,105,0.06125,0.63
,,106,0.065,0.64
,,107,0.07125,0.66
,,108,0.075,0.68
,,109,0.095,0.7
,,110,0.10125,0.72
,,111,0.1075,0.74
,,112,0.14375,0.76
,,113,0.1675,0.78
,,114,0.18125,0.81
,,115,0.21375,0.83
,,116,0.225,0.85
,,117,0.2425,0.87
,,118,0.265,0.89
,,119,0.285,0.91
,,120,0.30875,0.93
,,121,0.33125,0.95
,,122,0.35875,0.97
,,123,0.39375,0.99
,,124,0.4275,1.01
,,125,0.46875,1.03
,,126,0.515,1.05
,,127,0.565,1.07
,,128,0.6175,1.09
,,129,0.67625,1.11
,,130,0.7375,1.13
,,131,0.8075,1.15
,,132,0.87625,1.17
,,133,0.95125,1.19
,,134,1.0375,1.21
,,135,1.11375,1.23
,,136,1.19875,1.25
,,137,1.2925,1.35
,,138,1.39,1.45
,,139,1.48375,1.56
,,140,1.5675,1.66
,,141,1.66,1.77
,,142,1.74,1.87
,,143,1.83375,1.97
,,144,1.93,2.08
,,145,2.035,2.18
,,146,2.1375,2.29
,,147,2.20625,2.39
,,148,2.2625,2.49
,,149,2.3025,2.6
,,150,2.3475,2.7
,,151,2.39125,2.81
,,152,2.42625,2.91
,,153,2.4475,3.02
,,154,2.4725,3.13
,,155,2.52,3.24
,,156,2.57125,3.34
,,157,2.6175,3.45
,,158,2.66375,3.56
,,159,2.70875,3.67
,,160,2.755,3.77
,,161,2.8025,3.88
,,162,2.83875,3.99
,,163,2.88,4.1
,,164,2.90625,4.2
,,165,2.95125,4.31
,,166,2.9925,4.42
,,167,3.03875,4.48
,,168,3.08375,4.5
,,169,3.12875,4.52
,,170,3.17625,4.54
,,171,3.22125,4.56
,,172,3.2625,4.58
,,173,3.305,4.6
,,174,3.3475,4.63
,,175,3.3925,4.65
,,176,3.44125,4.67
,,177,3.4825,4.69
,,178,3.525,4.71
,,179,3.57125,4.73
,,180,3.6175,4.75
,,181,3.65,4.77
,,182,3.68125,4.79
,,183,3.715,4.81
,,184,3.735,4.83
,,185,3.7525,4.85
,,186,3.77125,4.86
,,187,3.78875,4.88
,,188,3.81,4.9
,,189,3.83,4.92
,,190,3.8475,4.94
,,191,3.87375,4.96
,,192,3.89625,4.98
,,193,3.91125,5
,,194,3.9225,5.02
,,195,3.9325,5.04
,,196,3.93375,5.06
,,197,3.93625,5.08
,,198,3.94125,5.07
,,199,3.9475,5.05
,,200,3.955,5.04
,,201,3.96125,5.02
,,202,3.965,5.01
,,203,3.9575,5
,,204,3.95,4.98
,,205,3.94,4.97
,,206,3.92375,4.95
,,207,3.90125,4.94
,,208,3.8725,4.93
,,209,3.84125,4.91
,,210,3.81,4.9
,,211,3.78,4.88
,,212,3.75125,4.87
,,213,3.72,4.86
,,214,3.6875,4.84
,,215,3.6525,4.83
,,216,3.6175,4.81
,,217,3.58,4.8
,,218,3.54125,4.79
,,219,3.5025,4.77
,,220,3.47125,4.76
,,221,3.43625,4.74
,,222,3.40375,4.73
,,223,3.37375,4.72
,,224,3.3425,4.7
,,225,3.315,4.69
,,226,3.28375,4.67
,,227,3.255,4.66
,,228,3.2275,4.65
,,229,3.20125,4.59
,,230,3.17375,4.54
,,231,3.14625,4.48
,,232,3.1175,4.42
,,233,3.0925,4.37
,,234,3.06625,4.31
,,235,3.04125,4.26
,,236,3.01625,4.2
,,237,2.98875,4.15
,,238,2.96125,4.09
,,239,2.94,4.03
,,240,2.91625,3.98
,,241,2.8925,3.92
,,242,2.87,3.87
,,243,2.8475,3.81
,,244,2.8275,3.75
,,245,2.81,3.7
,,246,2.79,3.64
,,247,2.7725,3.58
,,248,2.7525,3.52
,,249,2.7325,3.47
,,250,2.715,3.41
,,251,2.695,3.35
,,252,2.6775,3.29
,,253,2.66125,3.24
