DOY,ISAMDYN,ISAMBC,Measured
1,0,0,
2,0,0,
3,0,0,0.096452233
4,0,0,
5,0,0,0.03463062
6,0,0,0.099319049
7,0,0,0.034689941
8,0,0.00125,0.077810538
9,0,0.00375,0.027783561
10,0,0.0025,0.067038791
11,0,0,
12,0,0.0025,
13,0,0,
14,0,0,0.027195006
15,0,0,
16,0,0,
17,0,0,
18,0,0,
19,0,0,0.069398134
20,0,0,
21,0,0,
22,0,0,0.10079291
23,0,0,
24,0,0,
25,0,0,0.085612919
26,0,0,
27,0,0,0.030027025
28,0,0,0.016908175
29,0,0,0.044061991
30,0,0,
31,0,0,0.026867742
32,0,0,0.121645325
33,0,0,0.082678696
34,0,0,0.033944304
35,0,0,
36,0,0,
37,0,0,
38,0,0,
39,0,0,
40,0,0,0.018739474
41,0,0,0.089790511
42,0,0,0.074494169
43,0,0,0.069601957
44,0,0,0.051055303
45,0,0.00125,0.10208962
46,0,0.05,0.090922714
47,0,0.025,0.133644788
48,0,0.0575,
49,0,0.065,0.082250989
50,0,0.03875,0.079667149
51,0,0.03,0.156652662
52,0,0.03625,0.108194283
53,0,0.07,0.107775426
54,0,0.075,0.089272079
55,0,0.055,0.093616211
56,0,0.06875,0.04890748
57,0,0.05875,0.144329689
58,0,0.10375,0.160794995
59,0,0.10875,0.061086529
60,0,0.0625,0.110884727
61,0,0.03,0.31841646
62,0,0.0625,0.258896077
63,0,0.09875,0.184279449
64,0,0.11,0.122606028
65,0,0.08875,0.219741936
66,0,0.105,0.050006041
67,0,0.12,0.116803728
68,0,0.0925,0.032884729
69,0,0.09125,0.125195722
70,0,0.1075,0.157096918
71,0,0.07,0.269324178
72,0,0.0925,0.099703915
73,0,0.16,0.140526386
74,0,0.21125,0.225857558
75,0,0.26875,0.115941554
76,0,0.2925,0.229879937
77,0,0.3675,0.21286009
78,0,0.565,0.227344793
79,0,0.605,0.138063133
80,0,0.58125,0.353140969
81,0,0.625,0.104109009
82,0,0.69,0.106730152
83,0,0.615,0.205843952
84,0,0.84375,0.373418248
85,0,1.07,0.111501828
86,0,0.97875,0.272803481
87,0,0.82,0.221834939
88,0,0.9725,0.189059959
89,0,1.125,0.136956103
90,0,1.15875,0.208988019
91,0,1.24,0.15324191
92,0,1.20625,0.249677367
93,0,1.21625,0.440861332
94,0,1.12625,0.469373593
95,0,1.12125,0.320409459
96,0,1.16375,0.377959646
97,0,1.1,0.449140169
98,0,1.2575,0.385934645
99,0,1.575,0.319156478
100,0.10875,1.5675,0.426657706
101,0.2225,1.62375,0.341396607
102,0.25375,2.0275,0.444351791
103,0.2375,2.085,0.369317182
104,0.245,1.79625,0.337367134
105,0.28875,1.7075,0.143740101
106,0.3225,1.76125,0.375349124
107,0.36625,2.03375,0.455709993
108,0.37625,2.2325,0.350282359
109,0.59375,2.81,0.513828898
110,0.61,2.895,0.383840002
111,0.71375,2.94125,0.42696958
112,1.01125,3.275,0.445869031
