DOY,ISAMDYN,ISAMBC,Measured
1,0,0.00125,0.01068678
2,0,0.0025,0.019154278
3,0,0.00375,0.024000834
4,0,0.00625,0.034852994
5,0,0.00875,0.026844443
6,0,0.015,0.031107
7,0,0.01375,0.043599889
8,0,0.01875,0.027090243
9,0,0.01125,0.024469332
10,0,0.00625,0.023524959
11,0,0.005,0.01834488
12,0,0.00375,0.02095813
13,0,0,0.019514549
14,0,0.005,0.016807701
15,0,0.0025,0.009134105
16,0,0.00125,0.009903613
17,0,0.00125,0.026171747
18,0,0.00375,0.038586625
19,0,0.0075,0.034246764
20,0,0.01,0.023615783
21,0,0.00375,0.027368126
22,0,0.005,0.02671159
23,0,0.00375,0.043533825
24,0,0.0025,0.05843265
25,0,0.00125,0.02917694
26,0,0,0.027277963
27,0,0.005,0.045728548
28,0,0.0075,0.05000777
29,0,0.0075,0.033591391
30,0,0.01,0.047330744
31,0,0.01375,0.045826213
32,0,0.01375,0.045427453
33,0,0.02625,0.0331136
34,0,0.02,0.042246845
35,0,0.015,0.028807047
36,0,0.01125,0.028926931
37,0,0.01,0.0316804
38,0,0.0125,0.031685088
39,0,0.01375,0.032361239
40,0,0.00625,0.02622559
41,0,0.0075,0.022914168
42,0,0.0075,0.051779599
43,0,0.0125,0.049941898
44,0,0.02,0.032925142
45,0,0.015,0.024938817
46,0,0.0075,0.019586868
47,0,0.0125,0.055289999
48,0,0.01375,0.030590008
49,0,0.01125,0.053986908
50,0,0.02,0.045196541
51,0,0.02875,0.025825312
52,0,0.02,0.046596406
53,0,0.03125,0.050820661
54,0,0.02625,0.039213942
55,0,0.02875,0.063129546
56,0,0.0275,0.066391179
57,0,0.0275,0.032503768
58,0,0.01875,0.036066764
59,0,0.02875,0.053104426
60,0,0.02875,0.046289151
61,0,0.02875,0.054000647
62,0,0.02875,0.050557646
63,0,0.01875,0.054131844
64,0,0.01875,0.059971222
65,0,0.0125,0.057377704
66,0,0.02,0.072339729
67,0,0.03375,0.085606163
68,0,0.04,0.084947083
69,0,0.0375,0.054880667
70,0,0.03625,0.117466985
