DOY,ISAMDYN,Measured
1,0,-0.22
2,0,-0.54
3,0,-0.231773884
4,0,-0.43
5,0,-0.23768469
6,0,-0.190340476
7,0.000625,-0.162655029
8,0.000625,-0.156094731
9,0.000625,-0.171108219
10,0,-0.091480605
11,0,0.04
12,0,0.17
13,0,0.24
14,0,-0.006402497
15,0,0.06
16,0,0.16
17,0,0.23
18,0,0.53
19,0,0.099699067
20,0,0.09
21,0,0.04
22,0,0.250396455
23,0,
24,0,
25,0.000625,0.197806459
26,0.000625,0.18
27,0.000625,0.135013513
28,0.000625,0.163454088
29,0.000625,0.182030995
30,0.000625,0
31,0.000625,0.118433871
32,0.00125,0.220822662
33,0.000625,0.066339348
34,0.00125,0.256972152
35,0.000625,
36,0.000625,0.23
37,0.00125,
38,0.000625,
39,0.000625,0.22
40,0.000625,0.124369737
41,0.000625,0.254895256
42,0.001875,0.074494169
43,0.001875,0.094800978
44,0.00125,0.215527651
45,0.00125,0.10208962
46,0.0075,0.100461357
47,0.006875,0.321822394
48,0.00625,
49,0.0075,0.311125495
50,0.00625,0.079667149
51,0.006875,0.078326331
52,0.015625,0.108194283
53,0.02,0.248887713
54,0.021875,0.249636039
55,0.02375,0.151808106
56,0.065,0.47945374
57,0.09875,0.307164845
58,0.106875,0.305397498
59,0.065625,0.345543265
60,0.11625,0.510442364
61,0.06625,0.22420823
62,0.136875,0.234448038
63,0.155625,0.432139725
64,0.143125,0.436303014
65,0.134375,0.369870968
66,0.1325,0.220003021
67,0.111875,0.223401864
68,0.215,0.046442364
69,0.22625,0.125195722
70,0.086875,0.157096918
71,0.076875,0.269324178
72,0.095,0.099703915
73,0.08625,0.140526386
74,0.105,0.225857558
75,0.1825,0.115941554
76,0.235625,0.229879937
77,0.195625,0.21286009
78,0.184375,0.227344793
79,0.294375,0.189031567
80,0.25875,0.371570485
81,0.33375,0.452054505
82,0.279375,0.513365076
83,0.22375,0.562921976
84,0.285,0.721709124
85,0.2675,0.525750914
86,0.414375,0.59140174
87,0.3475,0.39091747
88,0.424375,0.719529979
89,0.39,0.553478052
90,0.501875,0.67449401
91,0.50375,0.586620955
92,0.539375,0.879838683
93,0.318125,0.355430666
94,0.46,0.727499172
95,0.270625,0.580202103
96,0.48875,0.687358774
97,0.463125,0.779570084
98,0.31875,0.782507671
99,0.52625,1.13423765
100,0.054375,0.557581104
101,0.11125,0.747722212
102,0.126875,0.967769075
103,0.11875,0.739031326
104,0.1225,1.038349378
105,0.144375,0.986870051
106,0.16125,1.325768442
107,0.183125,1.434242797
108,0.188125,1.011983446
109,0.831875,1.149082176
110,1.015,1.296723421
111,0.811875,1.255382965
112,1.320625,1.217291615
113,1.34625,1.493213425
114,1.28875,0.859934343
115,1.93125,1.550235519
116,2.449375,2.055477456
117,2.755,2.41544055
118,2.07375,1.628946827
119,2.415625,1.632357986
120,2.269375,1.917513973
121,3.660625,2.7777761
122,3.515625,2.603991404
123,3.78375,2.690414683
124,3.59125,2.370996759
125,4.53875,2.786092281
126,3.770625,1.857013899
127,4.651875,3.542977509
128,4.78375,3.913627295
129,5.524375,3.349756698
130,5.57375,4.200853526
131,5.613125,4.006957996
132,5.953125,5.107477109
133,7.760625,5.324945605
134,6.590625,5.728366745
135,7.14125,6.720847131
136,8.456875,8.370767371
137,7.944375,9.202467723
138,6.38375,7.833677151
139,6.443125,7.117811548
140,5.655625,5.006798886
141,5.305,5.094125802
142,6.24375,5.805778043
143,6.878125,7.749162317
144,7.63,7.387076175
145,7.4825,7.911675977
146,7.275,7.13140038
147,7.7575,7.153476382
148,10.104375,8.568077145
149,8.240625,8.350972171
150,10.67625,9.58605101
151,10.465,10.64326277
152,10.28875,9.246875061
153,11.480625,11.54247091
154,11.206875,11.61497274
155,9.07,12.59727215
156,10.15125,12.41640339
157,10.39125,12.63800047
158,9.28125,11.93110928
159,9.686875,12.82144723
160,8.45625,11.38861931
161,9.680625,9.788182759
162,11.200625,13.64778028
163,10.565625,13.87448568
164,9.431875,13.05186689
165,9.48125,13.51135896
166,8.85125,9.782261234
167,9.286875,12.43524277
168,9.75625,11.82110111
169,10.828125,12.6722076
170,9.824375,11.11987739
171,9.024375,12.83548854
172,8.98375,9.321089177
173,10.1,12.27756169
174,9.964375,11.71096682
175,9.84875,9.128657016
176,9.585625,10.54956805
177,10.030625,11.01757955
178,9.316875,7.72628744
179,11.12625,9.693339583
180,10.410625,10.92193561
181,9.981875,10.40089056
182,11.048125,10.32146171
183,12.398125,11.64296225
184,10.259375,9.69949257
185,10.289375,10.21277312
186,11.791875,12.04813371
187,12.120625,11.85131699
188,11.92,11.33560076
189,12.23375,12.79198745
190,11.438125,11.67413521
191,11.226875,10.82755067
192,11.605,10.72444886
193,11.445625,10.25823931
194,11.3575,11.6045445
195,11.61375,9.981029852
196,11.263125,10.67674634
197,11.91875,10.57286048
198,10.043125,11.48216501
199,10.46125,11.65120797
200,9.88125,10.96428159
201,9.674375,10.89068681
202,8.89875,10.39576309
203,8.74125,10.40235702
204,10.294375,10.35662153
205,10.16875,9.573486621
206,9.344375,11.23262651
207,9.428125,10.5752384
208,7.67875,8.298139185
209,9.055625,9.076712788
210,8.9175,8.644255453
211,8.329375,8.280024232
212,8.33,9.201902316
213,8.55125,10.05020495
214,8.41625,9.75317168
