DOY,ISAMDYN,Measured
1,0.00547619,-0.00375
2,0.006904762,-0.1175
3,0.012619048,0.060826141
4,0.015178571,0.056668937
5,0.005238095,0.00375
6,0.003583333,0.060081485
7,0.010083333,0.072653976
8,0.010297619,-0.08006895
9,0.010297619,-0.072338814
10,0.013988095,-0.098409375
11,0.015714286,-0.022818116
12,0.021845238,-0.002676302
13,0.032410714,0.063386026
14,0.004315476,0.01625
15,0.00389881,0.04625
16,0.005803571,0.0775
17,0.002827381,0.08125
18,0.0075,0.03
19,0.005386905,0.05625
20,0.009136905,-0.1475
21,0.004386905,0.0325
22,0.006053571,0.11875
23,0.010386905,0.051699329
24,0.017738095,-0.04625
25,0.008434524,0.05125
26,0.007053571,0.116257743
27,0.028422619,0.129714914
28,0.028613095,-0.021164939
29,0.013613095,0.124688589
30,0.012619048,0.106534657
31,0.016904762,-0.1025
32,0.026011905,0.059599974
33,0.038958333,0.12613061
34,0.052261905,0.134222877
35,0.043452381,0.059377687
36,0.028482143,0.059937326
37,0.051279762,0.103382072
38,0.019821429,0.246666883
39,0.013154762,-0.00875
40,0.011815476,0.051959645
41,0.015089286,0.139923646
42,0.01375,0.247321871
43,0.019761905,0.187835385
44,0.015327381,0.00438956
45,0.011904762,-0.062004371
46,0.028482143,-0.031405872
47,0.013690476,0.051852836
48,0.010208333,-0.081848334
49,0.011845238,0.2425
50,0.014494048,0.181697202
51,0.017202381,0.1999861
52,0.023482143,0.149816197
53,0.032482143,0.201555206
54,0.027232143,0.217565916
55,0.027738095,0.125983523
56,0.026458333,0.191997738
57,0.045535714,0.235904112
58,0.054553571,0.257433149
59,0.041011905,0.206814271
60,0.066785714,0.243754991
61,0.057380952,0.13245657
62,0.068511905,0.369044074
63,0.098690476,0.34433776
64,0.09485119,0.368797528
65,0.084345238,0.240657031
66,0.083244048,0.324748636
67,0.080267857,0.371621688
68,0.095357143,0.442059423
69,0.136309524,0.545349962
70,0.157678571,0.468264634
71,0.146517857,0.594287945
72,0.105297619,0.510263008
73,0.103958333,0.212297728
74,0.090238095,0.104538944
75,0.092857143,0.142313382
76,0.090982143,0.206003125
77,0.118660714,0.170075595
78,0.129017857,0.117021898
79,0.144065476,0.218616699
80,0.134833333,0.15909567
81,0.182791667,0.125645453
82,0.245886905,0.167332413
83,0.26477381,0.132190989
84,0.286279762,0.201515669
85,0.2775,0.208645863
86,0.325589286,0.315459068
87,0.40475,0.329167012
88,0.480714286,0.429079489
89,0.556041667,0.637049041
90,0.486803571,0.518584392
91,0.539946429,0.623702329
92,0.64985119,0.57436534
93,0.660964286,0.477969502
94,0.638059524,0.608710512
95,0.735470238,0.681878878
96,0.816041667,0.678227338
97,0.829285714,0.649240013
98,0.839857143,0.852121108
99,0.963130952,0.854467587
100,0.956607143,0.962191407
101,0.855357143,0.454074387
102,0.987125,0.582249996
103,1.058142857,0.912397515
104,0.95110119,0.819830819
105,1.050857143,0.981849203
106,1.16577381,1.187239588
107,1.480791667,1.562618783
108,1.576214286,1.408226374
109,1.667922619,1.547389893
110,1.654410714,1.668164537
111,1.794440476,1.662924872
112,1.923464286,1.873504244
113,1.780005952,1.863822306
114,1.742261905,1.949708558
115,1.77414881,1.781811197
116,1.810494048,1.84956182
117,2.020916667,2.155071026
118,2.222809524,2.185371272
119,2.185875,2.421991627
120,2.515595238,2.566609419
121,2.559708333,2.558844154
122,2.576761905,2.547202945
123,2.608684524,2.560540753
124,2.7865,2.822724184
125,2.519214286,2.503127547
126,2.45764881,2.432198204
127,2.645452381,2.850018272
128,3.136375,3.274618446
129,3.106458333,3.246200366
130,2.780904762,2.682458208
131,2.830839286,3.24047508
132,3.260160714,3.315941526
133,3.950434524,4.030968559
134,3.676208333,3.714390688
135,3.529809524,3.562478452
136,3.858125,4.090739331
137,3.936797619,4.140682466
138,4.22314881,4.28331147
139,3.969059524,4.072386814
140,4.057119048,4.296655549
141,3.72697619,4.144546762
142,3.915863095,4.551150685
143,4.136208333,4.598941029
144,4.283565476,4.504957929
145,4.069904762,4.296365101
146,4.336988095,4.286906177
147,4.522339286,4.735197989
148,4.508761905,4.620081432
149,4.552125,4.672752526
150,4.682744048,5.09255941
151,5.092357143,5.246487961
152,5.029892857,4.934508382
153,5.217886905,5.055879738
154,5.193595238,5.10451017
155,4.819755952,4.976116143
156,5.159720238,5.249256376
157,5.104345238,4.711355973
158,5.197345238,4.929963024
159,5.11960119,4.68522251
160,5.605910714,5.477251663
161,5.425279762,5.090347561
162,5.63264881,5.254784043
163,5.910184524,5.465816177
164,5.912130952,5.20927796
165,5.495220238,5.310459996
166,5.623482143,5.522206185
167,4.978964286,5.074901458
168,5.375619048,5.697797648
169,5.641160714,5.741095574
170,5.716232143,6.006200539
171,5.728458333,5.752743705
172,5.762309524,5.643831034
173,5.690625,5.919715051
174,5.64077381,5.846443054
175,5.775315476,6.307814523
176,5.941678571,6.432223989
177,6.111095238,6.524450479
178,6.090577381,6.260781378
179,6.527392857,6.464153418
180,6.209517857,6.539888166
181,6.380291667,6.624173224
182,6.247184524,6.298805487
183,6.305071429,6.543541984
184,6.09197619,6.907734265
185,5.754863095,5.811248406
186,5.822708333,6.063182613
187,5.980958333,6.468318923
188,5.859047619,6.689940215
189,5.76127381,6.570194398
190,5.663982143,6.097442232
191,5.914125,6.338850699
192,5.844934524,6.586011107
193,5.81152381,6.496583502
194,5.700202381,6.375256597
195,5.919065476,6.284696556
196,5.91347619,6.476869041
197,5.845642857,6.073574854
198,5.771738095,6.404354015
199,6.061922619,6.728208573
200,5.974535714,6.454211424
201,5.931184524,6.075959349
202,6.369630952,6.925337291
203,6.18272619,6.852559467
204,6.045803571,6.738582015
205,6.030940476,6.789819996
206,5.588452381,6.443032685
207,5.403541667,6.705444436
208,5.470041667,6.487775182
209,5.435702381,6.46568113
210,5.32225,5.968366293
211,5.668833333,6.293930916
212,5.484303571,6.193420032
213,5.829940476,6.860168535
214,5.667333333,6.82319593
215,5.724375,6.950490492
216,5.74372619,6.561607687
217,5.689339286,6.539900191
218,5.398279762,6.6834254
219,5.52014881,6.437720599
220,5.514815476,6.472653131
221,5.227130952,6.373946011
222,5.297625,6.4170566
223,5.178386905,6.30252789
224,5.140946429,6.752336624
225,5.374595238,6.539152454
226,5.193315476,6.448406324
227,5.358244048,6.489121237
228,4.908339286,5.908145203
229,4.973785714,6.206747099
230,4.70035119,5.732597898
231,4.739238095,6.221922329
232,4.930357143,6.293893547
233,4.700232143,5.965861542
234,4.228458333,5.401243048
235,4.672696429,5.354276011
236,4.449964286,5.116036436
237,4.105244048,4.554057301
238,4.262857143,4.667149429
239,4.417267857,4.848282275
240,4.60772619,5.027651206
241,4.382827381,4.788742767
242,4.378910714,4.80475212
243,4.177285714,4.404412761
244,4.22702381,4.771436335
245,4.266511905,5.00967645
246,3.938238095,4.278190687
247,3.964392857,4.417400989
248,3.864833333,4.577493396
249,3.737666667,4.588908805
250,3.714511905,4.769339694
251,3.513464286,4.619149989
252,3.332053571,3.886002422
253,3.231988095,3.361785789
254,3.386452381,4.151157017
255,3.165357143,3.723228851
256,3.314172619,3.594493514
257,3.558077381,4.163061558
258,3.399565476,3.785055404
259,3.330553571,3.791809308
260,2.978297619,3.359780482
261,2.997125,3.399239445
262,2.963833333,3.309334129
263,2.775619048,3.539031167
264,2.739589286,3.486025029
265,2.712482143,3.76740022
266,2.504839286,3.324720628
267,2.594291667,3.501527476
268,2.497053571,3.204728217
269,2.505083333,3.514917746
270,2.171291667,3.291922321
271,2.098511905,2.639698638
272,2.070083333,2.868414828
273,2.055958333,2.429034534
274,2.13102381,2.627221746
275,1.989708333,2.629792307
276,2.031172619,2.482220641
277,1.412589286,1.752316118
278,1.532119048,1.97423408
279,1.816011905,2.221472307
280,1.694690476,1.937285211
281,1.618922619,2.00566685
282,1.67735119,2.010798292
283,1.501797619,1.787209027
284,1.313315476,1.59978059
285,1.171011905,1.260001771
286,1.055142857,1.435902955
287,0.82772619,1.484257861
288,0.832833333,1.276907348
289,0.824172619,1.163202096
290,0.766809524,1.301141262
291,0.686422619,0.995833913
292,0.643755952,1.091831898
293,0.526053571,0.822839694
294,0.55375,0.981612162
295,0.52075,0.959289703
296,0.536059524,1.063645743
297,0.536625,1.019346702
298,0.517755952,0.832325093
299,0.446684524,0.788731155
300,0.45160119,0.871048575
301,0.447113095,0.777711235
302,0.446261905,0.829697743
303,0.433892857,0.795587915
304,0.33825,0.689271095
305,0.272583333,0.602829248
306,0.256208333,0.646269831
307,0.24875,0.643880544
308,0.230839286,0.447246202
309,0.178940476,0.556876188
310,0.196422619,0.549140561
311,0.158696429,0.461210767
312,0.123369048,0.398474233
313,0.138494048,0.296023075
314,0.134416667,0.3787009
315,0.090595238,0.366398432
316,0.109178571,0.411187402
317,0.134458333,0.333776843
318,0.141190476,0.287334783
319,0.113958333,0.389375328
320,0.135982143,0.371913886
321,0.13372619,0.274172364
322,0.101494048,0.248195475
323,0.097886905,0.228385649
324,0.076714286,0.306824459
325,0.10175,0.360367275
326,0.0785,0.362603307
327,0.095904762,0.342999447
328,0.038,0.277486882
329,0.03602381,0.305806843
330,0.030470238,0.34334179
331,0.021333333,0.275319315
332,0.045202381,0.305008685
333,0.056988095,0.332430186
334,0.04025,0.509694622
335,0.013625,0.422947656
336,0.01227381,0.507730614
337,0.00735119,0.392133725
338,0.013505952,0.22
339,0.005565476,0.415
340,0.007285714,0.48125
341,0.004744048,0.36625
342,0.009136905,0.62125
343,0.020815476,0.437131145
344,0.020089286,0.464962039
345,0.009404762,0.480336404
346,0.015357143,0.455294776
347,0.018809524,0.234705759
348,0.018452381,0.323936547
349,0.02027381,0.327730882
350,0.014821429,0.389290182
351,0.018940476,0.349572703
352,0.008880952,0.45
353,0.007988095,0.158413465
354,0.0125,0.086380896
355,0.006619048,0.153260184
356,0.009833333,0.141424398
357,0.013535714,0.076146603
358,0.011154762,0.162381776
359,0.009940476,0.23492985
360,0.004642857,0.339216557
361,0.00625,0.455
362,0.01125,0.34125
363,0.004761905,0.5
364,0.00702381,0.44375
365,0.018452381,0.472181132
