DOY,ISAMDYN,ISAMBC,Measured
1,5.66125,6.27375,0.878840417
2,3.92125,4.27375,0.992034555
3,1.75125,2.86375,0.998468115
4,3.35625,4.25375,7.641125625
5,4.05,5.50625,2.47467775
6,3.4375,4,4.597415417
7,3.4,4.62375,4.916594688
8,1.8325,3.3225,5.801539861
9,7.075,8.6575,1.520001319
10,4.44875,5.37375,1.150777917
11,2.78,3.075,2.684632917
12,3.345,4.10375,1.222154167
13,3.875,4.55625,3.091277146
14,4.51375,5.1375,2.701287292
15,5.6775,7.6,0.220775736
16,3.66125,5.2575,2.410311875
17,4.9375,5.7,1.687644167
18,5.2525,6.84125,1.793982458
19,3.65375,4.53,2.068629478
20,5.10125,5.72625,2.099710208
21,5.5225,6.41625,1.655646328
22,6.21,7.02,1.226850486
23,6.58,7.49875,5.414608514
24,5.34125,6.26,2.871025069
25,5.4975,6.5575,6.268222917
26,4.04625,6.05,1.432978542
27,3.38875,5.02375,2.089647979
28,3.79375,5.895,3.19459375
29,4.555,7.34875,1.093553833
30,2.18,4.42875,1.330058646
31,4.90875,7.19125,2.061191667
32,6.1075,8.35125,2.989147431
33,6.185,7.99375,5.511108646
34,4.84,7.17625,3.667756736
35,3.91625,7.29625,2.3586715
36,6.3875,9.92,3.144391458
37,6.28875,10.335,3.706600382
38,7.87625,11.38125,3.436621927
39,7.09125,9.79125,1.101698889
40,7.48625,10.3775,15.7082
41,7.5175,11.3675,2.770819075
42,9.34625,12.69625,3.664689042
43,8.045,12.4575,2.506859583
44,7.8425,13.9375,2.824417845
45,5.06,9.93625,2.802677708
46,7.3175,11.08,2.443812225
47,8.3775,11.5925,2.591634514
48,7.77875,11.1325,2.490567214
49,8.12375,12.37,1.426399479
50,11.05625,16.29,2.120002083
51,6.1075,11.06875,2.121943556
52,6.91,12.15625,2.958068698
53,3.7,7.38375,2.412073527
54,6.835,12.20875,2.161074375
55,5.08,9.05125,5.755546458
56,8.95875,12.735,2.471465375
57,7.9625,11.42375,2.280728078
58,9.44375,11.51875,2.240297267
59,8.88,11.20625,5.852650288
60,10.5925,13.11625,3.441462755
61,10.27875,13.48875,2.743455028
62,9.0425,12.2725,2.447625111
63,9.88875,13.76125,2.610152705
64,10.14,12.95125,4.552907458
65,10.44,12.81,4.502378021
66,8.24875,13.69875,4.402695702
67,6.58125,13.2675,2.401915899
68,5.97125,15.95125,6.942385417
69,6.4225,13.9075,8.075715281
70,10.40125,13.48875,12.21490583
71,10.655,12.875,10.70788513
72,11.95125,13.87375,9.556738542
73,11.94125,15.7975,7.381269583
74,11.02625,16.25625,4.546760611
75,6.07375,14.10375,5.546836458
76,8.475,15.335,6.125771615
77,8.55375,12.2475,7.742330542
78,6.3125,12.4725,9.455515629
79,8.875,13.34375,8.933084427
80,11.47125,16.48625,7.739442708
81,14.68375,19.705,5.924633611
82,16.3125,22.63625,9.483439514
83,12.7025,17.83875,12.52018917
84,12.8875,17.41625,8.88962
85,14.0275,16.8525,10.48024167
86,15.34875,18.1375,12.17687344
87,12.05375,13.425,9.22556375
88,14.96875,18.8325,8.923858917
89,14.4275,17.37125,15.86488953
90,14.20625,17.6625,8.7499325
91,12.9025,15.60625,12.17843125
92,15.60875,18.48625,19.76114688
93,14.92375,16.7575,11.75260625
94,15.25,17.53375,8.246180417
95,15.05125,17.34375,25.94305833
96,18.7325,20.1975,8.115129688
97,19.74375,22.235,9.815806667
98,16.15375,20.63875,13.29193583
99,18.19125,21.98,6.654267083
100,18.04375,23.11375,15.19053854
101,17.50875,23.55125,13.28433743
102,17.34125,23.4975,9.556045208
103,18.46125,25.21625,13.38766611
104,17.6925,23.89625,18.496825
105,19.22625,23.61125,17.01148409
106,19.0725,23.16,16.74862917
107,20.54625,27.855,18.2568175
108,22.5375,28.22375,14.4789375
109,23.6525,33.93125,21.00863604
110,25.16875,34.48625,20.1193613
111,33.29875,43.575,13.24671238
112,36.17125,46.565,19.92862058
113,38.49,48.4175,19.06170948
114,39.09375,50.7475,19.20532078
115,35.695,43.38125,23.66032167
116,31.7975,39.9225,
117,35.395,43.53125,23.926775
118,36.98625,44.215,20.4915
119,38.65125,45.83,
120,31.29875,35.7,35.33379438
121,37.2975,42.6175,
122,46.885,51.87125,
123,43.71875,46.86,
124,43.3425,47.1175,
125,46.9475,49.88,
126,52.62125,51.8125,
127,47.37625,43.3225,
128,43.67625,36.99625,
129,46.2025,41.125,
130,47.1175,42.325,34.12985051
131,47.74375,43.32625,
132,44.95,42.7375,33.82443042
133,52.3875,48.37375,
134,53.79875,45.08625,
135,60.665,46.115,
136,54.5725,38.8375,39.82008438
137,51.8575,34.9725,43.61074368
138,51.31625,32.7825,51.78229569
139,50.29,33.22125,47.62131427
140,62.4025,43.20875,53.10606573
141,64.48875,47.01125,
142,63.555,48.88625,48.68002285
143,63.775,49.32125,59.01568313
144,69.19,52.05125,45.97653954
145,71.175,53.53,44.89076875
146,70.03625,53.26,43.56362458
147,63.195,49.93125,57.46454526
148,67.54125,58.26375,54.49438883
149,70.65375,57.11125,50.00685729
150,72.725,56.0275,64.67336417
151,58.7775,51.2475,64.68154583
152,54.32875,50.9925,69.23084538
153,66.42125,62.76125,63.65706768
154,65.33,59.495,70.42673279
155,67.435,59.66875,79.37093361
156,78.64375,66.62875,75.7125505
157,81.3825,66.49,74.96556806
158,62.505,51.1875,67.26284017
159,54.915,42.39625,61.22458712
160,53.48125,39.61125,67.94955275
161,63.51625,46.80875,65.52922451
162,66.71375,51.32375,62.32668028
163,55.3025,48.1125,75.79846826
164,62.1675,51.84125,71.96442857
165,62.67125,48.265,72.56603673
166,64.97625,46.235,79.57637921
167,59.22625,42.81,77.90585642
168,70.13625,55.95,81.94634663
169,67.35625,49.85625,70.42871363
170,66.4375,51.88875,72.22470797
171,62.65,45.15375,65.36782262
172,60.82375,46.76875,66.83134138
173,73.99,66.985,91.42386439
174,75.39875,67.495,74.34311044
