DOY,ISAMDYN,ISAMBC,Measured
1,0.3275,0.6775,1.6
2,0.785,1.0475,1.93
3,0.4525,1.675,2.296666667
4,0.8375,1.4125,3.243333333
5,1.635,3.425,5.39
6,0.71,1.78,2.363333333
7,-1.825,-1.8825,-3.626666667
8,3.1375,0.4175,1.683333333
9,1.345,0.6475,1.573333333
10,0.77,0.6925,1.3
11,0.355,0.4,0.78
12,0.0925,0.7075,1.33
13,0.89,1.165,2.27
14,0.71,0.7375,1.11
15,1.14,1.5525,2.44
16,1.555,2.16,2.656666667
17,1.3425,1.275,2.293333333
18,0.9775,1.7925,3.713333333
19,1.04,1.98,3.28
20,0.425,0.91,1.446666667
21,0.77,1.525,1.903333333
22,0.625,3.51,3.526666667
23,1.7475,2.5075,3.85
24,1.05,2.8425,4.016666667
25,1.0175,2.61,4.04
26,0.685,2.0575,2.87
27,0.61,1.995,2.653333333
28,0.66,1.475,1.916666667
29,3.6225,2.9175,3.756666667
30,0.96,4.195,5.313333333
31,1.5825,5.0575,7.253333333
32,0.4625,2.265,3.143333333
33,1.2025,5.1675,7.11
34,0.655,2.9125,4.463333333
35,1.085,2.8725,2.873333333
36,1.355,3.5725,4.473333333
37,1.22,3.2925,4.153333333
38,0.965,2.13,2.876666667
39,0.915,1.9975,2.486666667
40,0.9175,1.685,2.536666667
41,0.7725,1.7175,2.443333333
42,0.9075,2.1075,3.37
43,1.0175,2.04,3.093333333
44,5.2875,3.1125,4.26
45,4.86,3.195,4.606666667
46,0.925,3.055,4.046666667
47,1.0175,3.4125,4.526666667
48,1.6,4.5725,6.07
49,1.0475,3.4325,4.513333333
50,1.715,3.63,4.526666667
51,0.635,3.17,4.336666667
52,1.6625,3.9575,5.076666667
53,0.795,3.22,4.273333333
54,8.5525,4.7475,5.846666667
55,5.4225,6.045,7.27
56,0.78,5.38,6.846666667
57,0.8825,5.855,7.57
58,3.4,5.605,7.48
59,0.7375,4.5975,6.37
60,4.4475,5.685,7.783333333
61,1.5775,5.63,7.57
62,2.07,5.055,6.833333333
63,0.63,4.5175,5.963333333
64,0.6775,3.635,5.18
65,4.4425,5.9975,8.266666667
66,1.275,5.27,7.173333333
67,2.565,7.195,9.38
68,2.4425,5.52,7.873333333
69,6.75,7.1775,9.863333333
70,4.7625,4.9775,6.61
71,1.73,4.235,3.25
72,1.25,3.67,5.146666667
73,5.9625,8.07,11.57333333
74,1.48,3.595,4.703333333
75,0.8325,4.63,7.036666667
76,8.415,5.2725,7.88
77,5.335,6.375,8.076666667
78,5.405,5.025,8.143333333
79,15.3625,11.29,19.21333333
80,3.475,11.36,20.79
81,4.605,8.4925,12.20333333
82,2.5825,7.79,12.12666667
83,3.6475,7.5675,11.80666667
84,5.99,7.9925,17.13333333
85,4.1775,6.5375,12.81333333
86,2.83,9.2275,13.53333333
87,5.8575,11.4875,16.75
88,2.73,4.335,7.11
89,0.9425,1.3875,0.233333333
90,1.735,5.48,9.49
91,0.8325,2.1075,11.07333333
92,9.0825,6.3525,12.96333333
93,3.38,4.1375,14.20333333
94,5.88,4.36,16.09
95,7.225,3.255,11.35
96,4.8175,3.88,16.69333333
97,7.3425,4.655,17.12333333
98,10.5875,4.9875,20.82
99,10.835,6.98,26.03333333
100,10.03,5.1425,19.41333333
101,22.1325,6.17,20.95333333
102,12.045,6.9675,22.22333333
103,11.7425,8.1025,31.68333333
104,8.645,5.22,22.95333333
105,10.09,4.3425,18.80333333
106,9.025,5.2575,20.62
107,10.7925,5.35,18.10666667
108,13.4,8.4525,26.42
109,16.8475,7.73,24.58333333
110,23.5875,6.5,18.56666667
111,20.09,10.865,30.84333333
112,17.925,11.9375,35.98666667
113,22.3325,10.2025,32.09333333
114,21.6875,8.5625,28.21333333
115,19.545,9.4325,30.07666667
116,22.08,7.105,29.91
117,16.6325,7.115,26.44
118,11.335,8.215,28.34666667
119,17.8475,14.155,47
120,19.2025,13.8275,43.95
121,19.8125,12.645,38.43333333
122,19.27,9.4475,32.54666667
123,22.0125,11.3025,34.11333333
124,30.485,14.98,47.02333333
125,37.3875,19.3,56.11
126,36.2225,18.9275,50.01666667
127,28.345,13.45,44.77333333
128,31.0325,13.2275,42.54
129,28.33,11.6425,40.08666667
130,24.28,8.705,28.36333333
131,25.695,12.4425,44.26666667
132,28.99,14.4375,43.88
133,38.8625,20.4525,48.84666667
134,31.5675,17.9625,39.01666667
135,30.2,16.1225,33.2
136,36.0675,19.09,38.29333333
137,30.3325,13.4975,35.15333333
138,37.6725,16.6675,50.08666667
139,32,10.44,28.77333333
140,22.36,10.46,28.82333333
141,24.505,11.5875,28.45
142,30.4375,13.475,31.76
143,32.355,17.6725,43.83666667
144,28.765,17.0025,41.84
145,38.35,21.4,42.52666667
146,41.0475,24.58,51.51
147,41.39,24.19,61.94
148,39.55,23.4075,62.03333333
149,39.13,25.44,52.97333333
150,43.6375,27.885,47.98
151,40.035,26.615,38.23666667
152,42.5625,27.98,35.52333333
153,52.4325,32.955,49.78
154,45.585,29.6825,45.49333333
155,40.0725,21.21,45.41666667
156,40.0925,22.4375,44.43666667
157,41.23,21.2975,43.19666667
158,36.435,22.4825,44.07666667
159,46.8475,27.3075,54.13
160,51.8625,28.21,55.83666667
161,52.795,28.33,52.01666667
162,49.82,27.8825,50.26666667
163,39.3575,23.0125,44.34
164,46.815,29.7125,54.77666667
165,40.37,23.4275,38.46
166,33.685,17.4975,39.73
167,42.6125,25.5775,53.90333333
168,44.08,25.4475,52.14333333
169,46.0725,24.575,56.41
170,51.64,33.23,67.44
171,41.375,25.5,54.03666667
172,54.08,27.7775,72.39333333
173,57.1625,30.0575,75.43666667
174,65.635,36.8675,88.06333333
175,53.1725,31.6175,73.72666667
176,38.72,29.26,63.55666667
177,50.9325,34.7075,74.03333333
178,52.725,39.31,73.57
179,51.6825,37.9425,67.54333333
180,48.225,32.01,57.96666667
181,44.91,28.535,51.37
182,52.6575,36.7425,71.16333333
183,44.6275,28.6375,49.77666667
184,44.02,25.1975,46.77666667
185,51.425,29.265,54.73333333
186,34.605,18.83,34.49666667
187,51.43,29.01,58.23333333
188,49.3175,31.1075,60.17
189,56.8425,39.8675,78.36
190,59.3675,43.715,77.51666667
191,50.2225,40.47,65.6
192,54.7875,42.6675,68.02
193,53.8025,39.945,62.14
194,49.615,37.6375,62.09666667
195,52.805,38.0925,64.57333333
196,41.3225,35.57,52.83
197,62.8475,46.23,61.20333333
198,46.6625,39.63,50.77
199,45.9275,37.1225,49.41333333
