DOY,ISAMDYN,ISAMBC,Measured
1,2.6375,1.44375,2.274241917
2,3.72125,2.9825,2.503443413
3,6.19375,5.2775,3.489162483
4,8.50875,7.70375,2.208895139
5,9.735,10.47125,1.953451639
6,7.37375,6.96375,2.473093549
7,9.28875,10.30625,5.373382646
8,10.985,12.75,3.286851806
9,7.5475,8.1075,1.444119546
10,5.29125,5.17125,3.188072743
11,4.64,4.11,1.750112305
12,3.53625,3.07625,1.025275021
13,3.7525,3.12,1.489277083
14,4.8575,4.195,1.479998333
15,4.945,4.58375,0.837773944
16,2.8475,1.80625,2.831808924
17,3.79,2.345,4.846674438
18,3.19375,3.03875,1.682748699
19,3.38125,2.7875,3.183051769
20,6.3475,7.01,2.062479931
21,4.69125,4.1575,5.694763191
22,4.2025,4.03125,2.728471875
23,3.52125,3.06,4.780160889
24,3.695,3.0825,5.460331528
25,4.20625,3.795,2.402165357
26,2.51,2.14875,3.24409767
27,2.375,1.1775,3.51496331
28,5.77,5.85125,4.863019472
29,6.83375,6.88,3.675989132
30,9.04375,8.27,4.575998889
31,10.56625,10.3575,2.436716649
32,7.6125,7.36625,5.304222083
33,12.48625,12.10625,4.402848583
34,10.48375,11.435,4.708295667
35,8.89625,9.545,2.143776544
36,7.28,7.35875,6.169726966
37,5.92625,5.33875,4.67669013
38,6.95125,6.36875,3.133951466
39,7.18,6.89125,3.394116494
40,3.75,2.82125,4.886215429
41,4.11,3.245,4.665581767
42,6.045,5.28125,4.483697917
43,6.40375,5.47625,4.68004631
44,7.23,5.76,2.741792768
45,6.68125,5.40375,5.348190694
46,4.13125,2.845,3.489409645
47,6.14875,4.08,5.567195234
48,6.6425,5.2675,1.563949181
49,6.93,5.8675,6.46156526
50,6.15875,4.91,2.792932784
51,7.9275,6.92625,4.618496302
52,5.8725,4.80125,5.043708047
53,6.1025,4.885,5.808222698
54,5.19375,3.42,2.296746858
55,5.1575,3.0825,5.596978508
56,6.0025,4.33875,5.98095125
57,7.38,6.10625,5.035888229
58,5.38875,4.92875,4.357549052
59,6.76,5.88125,5.450352057
60,7.69875,6.965,5.600655781
61,7.5775,6.53125,5.959751328
62,7.60625,6.215,3.605432556
63,6.7575,5.08,3.657134053
64,5.26375,3.97,6.029526224
65,5.41,4.21625,6.074166406
66,4.6725,2.89125,4.044313411
67,7.0975,5.47875,6.942942786
68,7.39375,5.80375,6.17703648
69,7.7375,6.1175,7.793258097
70,6.69625,5.165,6.511194908
71,7.42875,6.34625,7.605938973
72,9.98,8.41,6.300241185
73,10.35875,8.0975,4.422262143
74,8.0475,6.40875,7.496154948
75,8.1175,6.81375,3.660147949
76,6.57,5.68,11.01960604
77,13.2475,13.22125,9.385595924
78,12.1025,12.19125,7.010653049
79,13.58875,13.0325,12.95732802
80,15.3075,15.15375,8.521938473
81,16.69,15.98625,8.419362891
82,14.365,13.015,6.174902891
83,12.27375,11.035,7.123378958
84,11.685,9.515,8.838376812
85,17.51125,15.23,9.703029891
86,14.5975,11.87375,6.345437276
87,19.95625,16.15875,10.68144435
88,16.30875,14.09,8.401544817
89,15.63,13.40375,10.51838364
90,15.7225,11.86,11.21624228
91,19.08875,16.3675,7.485106266
92,13.64125,11.59875,7.572567138
93,10.24375,7.40875,6.385489068
94,9.52875,6.9775,7.445560365
95,12.69875,9.56375,7.577312396
96,13.94625,11.395,5.601431057
97,14.91625,11.935,15.68230085
98,16.12,12.85375,9.445988802
99,20.765,16.8475,12.44700889
100,23.03,17.26875,10.38217141
101,20.2975,15.27375,12.47995001
102,21.32,16.94125,12.43893214
103,16.6325,12.455,11.15483648
104,17.62625,13.84125,12.57640026
105,11.385,8.83625,9.605933149
106,15.61375,11.12125,15.75239774
107,25.57625,20.19625,15.23543685
108,24.185,18.88625,14.0457971
109,27.63625,21.03375,19.86573451
110,35.235,28.14625,19.17949155
111,29.21,24.82875,23.96555529
112,24.1475,18.6875,13.92792796
113,24.52125,18.02875,23.7879937
114,27.32875,21.1275,18.86078911
115,27.72,21.885,19.09374427
116,22.27375,16.5575,14.4101816
117,16.3875,12.35,21.98251783
118,15.1725,10.60125,25.38770372
119,11.3025,8.09375,25.75764568
120,20.01875,15.9775,18.01668206
121,22.79375,18.335,19.52783741
122,32.09125,24.86375,30.40044821
123,37.95125,31.19875,23.28633288
124,29.0075,24.16875,28.13732719
125,22.235,17.45625,26.95808092
126,26.78625,21.35875,33.69902824
127,21.87375,17.895,25.77862569
128,21.42,17.52875,29.18603354
129,20.6225,16.40625,23.7078375
130,14.67875,12.16,28.08714111
131,21.2525,16.5975,29.3794733
132,23.49875,17.8925,37.14236905
133,29.29875,21.45375,42.00289661
134,33.15625,25.71875,44.37961577
135,35.26875,28.905,47.00982062
136,37.64125,29.33625,37.23334732
137,36.7575,30.9875,27.95986149
138,39.01625,32.8225,38.76905107
139,36.58875,30.05,41.20645208
140,36.09125,30.43,23.01227015
141,32.2775,27.795,26.97169839
142,29.24375,23.83,36.11408948
143,31.13,26.74125,47.20958125
144,33.4625,27.2725,60.65901797
145,33.07625,27.27875,53.4563349
146,33.65,27.58,45.44324
147,46.775,42.7925,37.75095417
148,55.18,49.71125,37.16182516
149,52.17875,46.36,35.23712078
150,67.16,60.355,59.2345316
151,61.6325,55.61875,46.91061655
152,51.56625,47.38,51.92626796
153,42.60625,38.165,37.49423984
154,34.7575,31.395,47.00189358
155,43.4075,36.5425,67.07986094
156,76.21,66.54125,64.30430969
157,72.30375,65.805,53.62779
158,69.165,63.68,59.28518688
159,65.9275,58.3075,31.93623505
160,47.58125,42.92375,46.00616529
161,44.79875,41.12375,46.4796356
162,39.58125,38.29375,46.62380385
163,47.0625,40.3875,34.64481198
164,51,44.27625,77.31669645
165,58.66875,53.28625,57.48830598
166,66.66375,62.4225,54.4860138
167,71.7675,66.43875,63.78866698
168,81.205,73.935,58.52621405
169,91.45125,83.5225,64.61464375
170,62.10125,56.28875,65.00913499
171,61.5425,56.64,48.85792339
172,69.745,63.57,49.3346987
173,73.73875,69.6525,68.07160172
174,71.6025,66.40375,41.13469755
175,58.765,55.46375,70.54371071
176,66.645,62.47125,56.93884818
177,70.86125,62.915,55.03006281
178,80.68,70.52625,63.71081432
179,72.66625,65.58375,79.6138288
180,67.88,64.275,66.81076561
181,64.66625,60.3025,76.57289978
182,59.725,55.40625,86.48778295
183,54.91875,51.69375,43.98045979
184,63.13625,60.0025,65.27498229
185,50.06375,48.52875,61.91715115
186,55.53375,55.3075,59.29388968
187,44.18125,45.285,48.41955243
188,52.765,51.9,59.44120755
189,49.865,51.07625,47.85529554
190,36.43,36.77375,55.80032938
191,51.86875,52.05125,59.75152118
192,60.1575,59.335,62.11580964
193,63.20875,64.155,61.28558151
194,59.635,62.38875,40.92665953
195,56.62,59.12125,59.83944112
196,44.16375,47.41625,34.35349369
197,45.9825,49.40625,55.05626379
198,42.33625,45.005,56.54060843
199,45.84625,47.64375,59.63336223
200,56.695,58.55625,36.74588823
201,53.74125,55.49,66.92452161
202,47.1575,51.56125,59.97125786
203,47.59875,53.09375,52.84860208
204,52.56625,55.06,62.83624818
205,44.48375,48.05875,42.21065641
206,37.8575,43.0125,51.69056833
207,41.05125,43.515,45.30960458
208,38.73875,44.5775,32.84041781
209,41.31125,45.81625,65.14085923
210,45.0075,48.35,55.20986057
211,49.46875,49.39625,31.10998729
212,49.71875,50.3425,42.93901249
213,37.17,37.28,40.11781578
214,32.715,34.535,29.44066432
215,27.33125,31.72625,34.87626188
216,28.39,32.3475,25.11939457
217,24.7275,28.7725,45.57246468
218,41.05625,45.24125,31.34366656
219,48.5025,54.0675,43.38001943
220,41.53,47.0875,34.70452292
221,39.3425,42.19875,42.85576595
222,37.78125,42.99875,23.05010536
223,28.34125,34.13875,37.9731213
224,30.1975,33.67875,33.10144608
225,34.6975,36.155,38.29586917
226,40.4875,42.955,35.95642134
227,30.645,35.1625,31.16773464
228,27.5975,30.825,26.99971589
229,27.99625,30.44,26.96076172
230,29.19125,31.1225,26.55590005
231,26.6675,29.76875,37.56561328
232,27.945,30.79125,18.29931396
233,20.785,24.2275,24.07708255
234,19.30625,22.7175,18.6336599
235,33.695,36.24125,18.73792099
236,30.4675,32.335,20.51400104
237,29.55,31.35375,30.74981474
238,28.215,30.4625,12.58305071
239,17.90625,20.55375,19.15922188
240,16.04375,17.805,17.85923473
