DOY,ISAMDYN,Measured
1,2.707425595,2.356839789
2,2.253095238,1.36771288
3,1.973556548,4.309457446
4,1.768497024,3.222256521
5,2.28889881,2.24377901
6,2.035089286,3.478358821
7,1.349880952,3.013534326
8,2.79046131,3.340764542
9,2.379583333,1.859512822
10,2.311785714,2.59068625
11,1.499285714,1.915487977
12,1.458883929,2.296505862
13,1.517380952,1.649092326
14,3.728809524,2.539233863
15,3.559136905,2.654839796
16,3.946934524,3.324068852
17,3.176979167,2.170246128
18,2.545104167,3.409451388
19,3.558482143,4.047458958
20,2.932380952,2.7231951
21,1.923630952,2.658711216
22,2.771934524,3.165879996
23,2.267574405,3.377195744
24,3.137440476,4.432821326
25,2.506949405,3.458322034
26,2.047083333,3.227133076
27,2.851309524,3.131228938
28,3.608333333,4.334815592
29,3.299806548,3.00410841
30,4.439702381,5.062325853
31,5.354508929,5.684075882
32,3.917098214,2.911328329
33,3.624657738,4.254916139
34,3.467916667,3.688931412
35,4.179375,4.763546026
36,4.214583333,3.475730516
37,3.779464286,3.619716676
38,4.505803571,4.487419788
39,5.623630952,2.834206648
40,3.139806548,3.335415153
41,3.652455357,5.308867708
42,3.688020833,4.170450678
43,3.654419643,4.374144379
44,4.040342262,4.162576555
45,4.244494048,3.850151649
46,4.563333333,5.376966135
47,3.134300595,4.517241985
48,3.469345238,5.04623802
49,3.2678125,3.867693976
50,4.086279762,5.388177409
51,4.092172619,4.147479563
52,4.4065625,5.304261875
53,5.552767857,5.89038131
54,7.93016369,4.988234062
55,5.127544643,6.102248634
56,7.732440476,4.174035287
57,5.592931548,5.233685583
58,6.838720238,8.070280745
59,5.688407738,5.5890846
60,7.205044643,9.516380174
61,8.002842262,7.156194854
62,8.691607143,12.0832397
63,8.440178571,8.777137609
64,6.649032738,6.504987547
65,7.810907738,10.44636321
66,7.40125,8.697106268
67,9.411041667,9.523006454
68,7.254032738,8.072766939
69,7.674880952,8.156549637
70,9.573110119,9.80973409
71,9.424077381,9.141088271
72,10.47616071,10.91492066
73,9.328883929,9.145815854
74,8.387678571,9.779107438
75,7.768526786,9.299093201
76,9.588720238,7.506468425
77,9.224970238,6.856343794
78,9.486190476,7.945701635
79,11.29483631,10.56098984
80,9.505744048,9.707541752
81,8.061458333,8.173300167
82,8.016264881,7.818693599
83,8.860104167,8.515294883
84,7.998035714,8.11961583
85,6.832366071,7.763228388
86,8.950178571,11.25019294
87,7.725610119,9.2345012
88,7.139880952,9.16444138
89,8.081354167,10.28973069
90,11.86428571,11.73561153
91,7.737872024,14.37914379
92,10.09635417,17.32904099
93,12.29610119,16.51372948
94,12.02761905,18.20815549
95,11.91255952,14.03039993
96,12.16325893,12.81968413
97,13.27697917,11.33239395
98,14.86188988,13.44776311
99,14.21488095,11.49484735
100,14.60017857,16.60471875
101,15.95769345,17.90204694
102,15.50535714,14.79355019
103,14.87141369,15.9261224
104,15.17467262,20.59007334
105,14.60309524,16.75737204
106,16.56178571,15.21140858
107,17.7255506,18.19075616
108,18.50297619,19.25346886
109,15.51450893,16.50935549
110,22.51096726,21.11227502
111,20.69794643,18.30925649
112,19.53940476,23.54652098
113,20.90959821,27.70893197
114,20.24183036,23.273358
115,19.22092262,21.42951958
116,19.15205357,18.84316915
117,21.82736607,25.49473142
118,21.67252976,21.91089915
119,21.36272321,25.31421824
