DOY,ISAMDYN,ISAMBC,Measured
1,8.95625,11.34625,
2,3.8825,5.73875,
3,0.66,1.37125,
4,5.78,7.165,
5,-1.9925,-3.48625,
6,-2.68,-2.87125,
7,0.65125,-0.14,
8,-5.915,-7.42625,
9,-9.4375,-12.66125,
10,-3.9325,-4.80625,
11,-1.015,-0.88625,
12,2.0175,2.03,
13,-0.6975,-0.5325,
14,5.115,5.2775,
15,0.98375,-0.25875,
16,1.81,1.09125,
17,4.455,4.22,6.396766667
18,5.10375,4.54375,5.131951635
19,3.91875,3.1225,7.70538513
20,10.365,10.9825,3.408831589
21,9.15875,9.735,0.767232232
22,8.35375,9.23,-0.037693177
23,10.67,11.485,
24,5.465,5.695,-0.377770424
25,9.10875,9.97375,
26,4.6075,5.00375,
27,5.42125,6.2525,7.779882318
28,0.60875,0.855,
29,5.17625,5.335,
30,0.71375,0.27625,-0.694298479
31,3.6675,4.00875,3.575500104
32,5.605,6.5875,
33,5.015,5.94875,-0.963485208
34,0.81875,2.04,4.636325781
35,3.025,2.84625,5.945457115
36,4.95,4.3675,8.196575521
37,4.72,4.125,10.22940349
38,10.12625,11.28375,20.63541987
39,3.19625,2.53875,4.117523177
40,4.2325,5.4075,13.7371888
41,9.29875,11.1825,8.465990729
42,6.35125,8.2175,-1.186254948
43,9.04375,11.7575,7.489392188
44,5.76,7.42375,3.663034036
45,5.59875,4.5,19.35147656
46,8.7725,9.94125,12.51236656
47,8.67,8.9775,13.6713157
48,8.28125,10.37375,17.17306458
49,6.57125,9.44125,14.78426956
50,10.7275,12.08125,14.41287112
51,8.96875,9.65125,15.43747531
52,8.13625,10.12125,15.67097669
53,4.00125,6.68375,19.52071823
54,3.20375,5.42875,17.51772469
55,17.74375,20.55,18.09661677
56,15.70625,17.1125,25.69618229
57,13.83375,19.89125,21.0472566
58,8.91375,16.69125,15.74323777
59,10.78,18.09875,19.57442438
60,12.30875,18.09,27.14398828
61,18.0625,25.3,24.79606403
62,13.25375,19.76,23.25856172
63,13.525,22.33625,31.11547865
64,25.12625,32.37125,27.19985589
65,24.59625,32.825,31.77293263
66,30.64375,37.06,38.46765534
67,29.96,39.42875,28.33059057
68,50.32125,57.48375,26.95914107
69,34.25625,37.09125,53.56296
70,39.33,43.49375,30.37751875
71,49.4775,51.11625,24.68619458
72,37.48375,42.9275,31.61419161
73,33.52625,37.425,40.05365398
74,47.32625,45.60875,35.48341076
75,36.09375,37.1275,39.55235062
76,36.26875,38.55125,32.46089349
77,30.4875,34.35375,44.80200208
78,29.43375,29.3,34.93585965
79,24.28125,23.32,51.69781745
80,43.1925,42.1975,41.82008542
81,51.70875,48.8625,52.29484276
82,51.7725,46.38125,46.43590547
83,47.93125,45.0625,53.9554612
84,47.57,45.95375,57.76516518
85,45.85875,40.13125,39.72886224
86,65.01875,57.54375,38.03267247
87,52.19,44.51125,40.45274792
88,56.00875,54.765,58.25351671
89,52.2275,42.11125,54.43560658
90,68.1875,57.73875,48.82676719
91,54.76875,41.8725,54.85136354
92,78.14625,66.05625,67.19183977
93,74.90125,58.80875,50.74922219
94,65.77875,51.4875,37.03455896
95,70.5425,58.1725,63.7063099
96,105.54125,88.02375,37.54973544
97,78.6325,62.05875,39.86307333
98,59.42,50.435,46.50403646
99,74.27125,55.56875,37.87615417
100,62.175,61.26375,40.5100224
101,49.4175,45.3675,48.69462786
102,45.68875,45.31,54.44670651
103,58.22375,56.4875,43.90839401
104,68.11125,67.52,37.53651068
105,72.00125,72.05625,46.3507137
106,61.7975,59.62,59.22092151
107,60.6725,60.96125,50.57990841
108,60.925,61.085,77.87465109
109,55.65,50.93375,57.98118854
110,50,42.905,85.60708388
111,68.35375,63.85125,92.23037786
112,70.27875,63.24125,83.11571589
113,54.19,45.06125,89.59736927
114,66.4475,56.2175,75.31874375
115,57.30125,47.7675,86.85400599
116,52.37,45.93625,77.72277307
117,57.12875,50.2525,103.7183508
118,57.395,53.15125,94.52923801
119,56.0075,48.4125,69.47815773
120,53.33875,46.49375,89.54151495
