DOY,ISAMDYN,ISAMBC,Measured
1,-4.22,-3.19,3.602696759
2,-4.0625,-3.055,3.639350694
3,-1.8525,-2.83,2.899646412
4,-1.8525,0.1675,2.481149884
5,1.6425,-2.86,3.77671875
6,-12.6875,-8.385,3.769162616
7,-13.01,-6.865,2.19308941
8,-2.4625,6.0275,4.116635706
9,4.08,2.2675,2.986511863
10,15.1925,11.6775,6.022059317
11,5.5875,1.415,0.249534722
12,-2.185,-4.485,1.683150752
13,-2.165,-4.8075,7.296510127
14,1.975,0.8375,8.776563079
15,-0.535,-3.26,6.6578886
16,3.4675,1.865,10.96964323
17,-3.43,-1.8575,12.31028328
18,-10.505,-13.1975,7.00897309
19,-4.475,-3.93,14.18957292
20,-1.555,-4.25,11.40409809
21,5.7675,4.87,7.423936632
22,8.595,5.265,14.51838368
23,3.2725,4.2275,13.22559288
24,2.265,3.8325,9.055315104
25,-0.8525,-1.555,22.50273814
26,8.9375,6.915,18.26018576
27,-0.045,-1.33,15.30234317
28,-1.55,0.315,20.44275405
29,-4.4025,0.6525,10.58529167
30,0.665,-2.6875,8.976862269
31,-0.6575,-1.685,16.42443056
32,3.3675,1.025,4.995125
33,-6.7175,-7.365,11.89401418
34,4.0925,6.36,19.7376956
35,14.475,11.1275,17.23434722
36,30.9275,30.42,11.25059809
37,11.115,8.1325,18.65915625
38,25.9825,26.875,23.05777836
39,11.4075,11.055,12.56484404
40,19.475,22.0975,35.05306395
41,21.65,23.705,17.09151186
42,11.4975,10.6125,19.51012124
43,13.3225,15.45,36.52183391
44,24.53,24.5325,21.08741319
45,12.1925,15.585,24.08609954
46,24.505,23.73,33.77419763
47,25.1175,21.085,24.20744068
48,37.515,36.365,19.63530816
49,35.365,33.01,50.26180642
50,41.9,43.14,34.17741667
51,40.7325,39.7825,33.01010938
52,20.575,24.375,40.39829745
53,37.505,37.4875,30.28038484
54,38.5875,40.4825,38.59319661
55,41.58,39.52,51.33288976
56,37.54,31.3475,62.05026476
57,42.21,38.6875,64.23098438
58,49.7475,43.695,70.20280469
59,48.9675,44.2925,59.13635113
60,42.0175,38.72,49.88376172
61,57.09,52.2775,63.95680006
62,47.6025,42.19,45.84129601
63,56.3375,47.305,61.46285807
64,45.4025,37.7125,63.35470139
65,49.8225,42.515,63.0639809
66,57.395,49.035,65.78373047
67,60.7525,56.86,69.18663194
68,48.0775,48.5,65.92806076
69,26.9675,27.65,98.06380556
70,49.3975,51.6925,76.34716117
71,68.5275,53.1475,55.44932552
72,31.38,30.8325,42.32983391
73,44.1425,50.425,76.61035648
74,42.725,44.3075,32.69561834
75,55.16,50.705,80.99199913
76,14.9475,33.8675,78.54254384
77,62.3625,69.545,61.38184028
