DOY,ISAMDYN,ISAMBC,Measured
1,-4.85,-6.7825,-17.93099883
2,6.515,1.11625,-24.21306103
3,-2.3575,-6.97,-24.70476328
4,-23.97625,-26.35625,-32.86415089
5,-17.0425,-20.75875,-18.6802191
6,-4.80875,-8.62875,-42.24091875
7,-21.82125,-24.345,-32.99434931
8,-16.70875,-20.47875,-23.86472292
9,-15.2,-16.23125,-35.55963544
10,-0.34625,-2.74125,-17.75020625
11,10.755,6.275,-18.41511807
12,2.06625,-1.07,-9.768982986
13,4.36,0.8875,-6.845687468
14,-8.48625,-10.375,-12.33855429
15,-0.87,-3.2675,-8.821465888
16,1.17125,-1.04,-8.12160153
17,-16.67,-17.47875,-16.55547197
18,-9.57,-12.705,-10.7720963
19,-6.92625,-9.73875,-36.62968631
20,-21.10375,-23.61125,-16.34852181
21,8.75375,4.77,-18.58242476
22,8.93875,4.4475,-17.55852111
23,13.735,10.18125,-34.30834848
24,11.05875,7.93125,-28.46907101
25,4.0175,-0.1175,15.67071806
26,15.41875,11.07875,-1.547731929
27,13.22625,9.9575,-6.46947654
28,10.6525,5.305,-11.93468235
29,-1.10625,-4.75,-20.29129988
30,-13.09625,-15.8025,-24.32013629
31,-10.4875,-14.15125,-30.31376316
32,-7.325,-10.6,-24.66568869
33,-15.73,-18.17,-27.66481432
34,-0.2475,-4.81875,-24.67535589
35,6.49875,2.1425,-16.64060744
36,-2.08,-5.09125,-6.264764931
37,3.67875,0.92,-4.533676646
38,4.3025,0.6825,-16.0503138
39,0.25,-2.00375,-4.540983376
40,24.98875,20.39875,-8.576138406
41,26.08,21.68125,-14.7087316
42,19.2625,15.71625,-1.894565812
43,15.36375,11.92875,-5.334055246
44,10.84875,8.18125,-10.4387705
45,9.03125,7.57,15.94391982
46,19.1975,15.6875,8.978165278
47,11.045,10.24125,4.038138333
48,6.00875,5.0075,14.43217188
49,10.5225,10.37,8.830004514
50,5.28875,3.0175,-4.455392738
51,4.48875,1.94375,5.424025
52,13.4975,10.56875,9.5105125
53,15.22375,13.285,13.06598393
54,19.8075,17.62,15.82262342
55,32.57375,28.6725,9.514603274
56,36.37125,32.89125,7.755435032
57,32.71375,28.77375,1.679864268
58,26.845,21.62875,9.726902429
59,28.77625,24.14875,-2.177329464
60,23.7925,19.19875,8.632910714
61,33.6925,29.18875,5.943598214
62,22.15375,18.82625,6.510261508
63,41.095,36.69125,13.03189742
64,35.86375,31.01,4.704570574
65,36.37375,33.18625,8.920603475
66,42.025,39.355,14.89845561
67,47.415,43.55875,4.848756679
68,42.90125,39.05625,0.432979687
69,41.54375,37.8775,20.02176597
70,29.11,26.86375,24.2563434
71,47.625,43.53875,31.5484684
72,39.35625,35.215,23.02290796
73,33.41125,29.12375,9.284588889
74,44.8125,41.13375,22.30757054
75,40.2825,37.4975,12.49067832
76,37.5525,35.30125,19.60874375
77,26.4175,21.66,14.55511562
78,35.69125,29.04,12.09655597
79,39.66375,34.33625,22.58780298
80,53.495,47.07,13.68468071
81,42.88125,37.3675,25.10089018
82,35.79625,31.07,14.45343966
83,43.91875,38.97625,20.59888122
84,40.07,35.44875,28.3582059
85,41.225,37.33125,13.62998582
86,45.24375,41.89,9.296624056
87,42.8275,42.22875,11.75128333
88,45.0425,42.615,24.03361339
89,31.9,29.8925,26.65215923
90,29.4475,28.87375,21.88687024
91,36.105,33.5325,22.55418566
92,46.84,44.27625,41.19837336
93,55.19,54.0725,38.84789728
94,68.19,66.15875,27.23124851
95,60.07875,58.12125,22.81498166
96,59.40125,57.03375,23.92203601
97,57.62375,55.48875,44.39570685
98,65.75,63.4475,31.04417798
99,36.86125,35.3525,41.01336845
100,45.12125,44.095,43.19326786
101,54.36875,53.07625,41.93920971
102,42.1475,40.91375,50.99823771
103,45.60625,45.98125,43.31049673
104,67.42625,66.595,24.43414975
105,69.22125,68.1625,42.39721514
106,62.305,60.595,74.88530099
107,65.76375,64.56875,47.30219667
108,51.955,50.58875,63.53734493
109,52.84625,50.8825,58.4502806
110,57.5275,55.74375,47.33425969
111,54.145,53.68625,68.90034468
112,56.80625,56.14875,82.478075
113,60.095,58.7,55.71322734
114,50.33125,50.88125,53.08012595
115,62.4225,63.4525,52.13996319
116,63.79625,63.8925,41.86408052
117,55.2975,57.1725,49.63898274
118,67.405,66.55625,50.706174
119,54.6475,53.04375,61.67980179
120,73.86125,71.91875,35.39000676
121,50.1,47.9375,63.5213437
122,57.57875,54.40125,75.87765588
123,64.75125,60.89125,39.04344679
124,66.38125,65.30875,57.13459534
125,65.55375,64.015,44.94002301
126,69.7825,68.33625,55.238305
127,71.59875,71.37875,60.06078958
128,80.98625,78.43625,42.0886142
129,62.39875,59.5075,44.18609125
130,61.96625,59.18,102.3529115
131,78.66625,75.1325,47.91322039
132,65.09125,61.19,49.21556701
133,66.67375,64.49,49.8370625
134,71.27875,68.54625,53.80915243
135,61.83,58.98,53.54275278
136,67.28125,63.90875,67.14962083
137,68.6425,66.66875,54.48128941
138,62.5475,60.3,61.82979306
139,67.8575,65.7025,57.45109236
140,63.56375,60.94375,51.11533368
141,72.615,70.47625,32.03496855
142,56.78875,54.98,25.53500524
143,53.25,51.21875,22.38792185
144,65.1,62.55125,50.92906935
145,74.14625,69.77875,58.60227054
146,78.07125,73.2875,45.05825268
147,67.265,60,62.51770536
148,69.49375,61.8275,45.15672143
149,60.185,52.84125,42.83491023
150,54.9575,48.0975,54.2276184
151,52.37,45.01875,52.0498566
152,48.89875,43.2,62.54872326
153,65.4075,60.38625,36.32883692
154,50.31875,44.59,34.61656677
155,60.335,53.285,47.79229226
156,56.775,46.58875,37.93494702
157,44.57375,34.99125,37.87531369
158,55.61375,48.17375,32.98037983
159,65.2525,57.89,21.92855019
160,47.27,40.62125,57.39449559
161,53.7025,46.68375,48.83721285
162,48.41,42.08125,52.22069985
163,65.7025,60.0425,31.03405798
164,48.07,40.90375,52.34953987
165,53.4025,45.11125,40.85205833
166,51.34875,43.2275,25.23869821
167,43.9825,35.64375,37.16268036
168,42.53625,32.52875,44.29681982
169,49.665,40.93,46.06784583
170,51.46625,45.35125,41.94824685
171,52.64375,46.245,39.47023675
172,52.67375,44.80625,56.61918512
173,60.15375,51.55875,52.12677173
174,63.63,54.97375,53.25592649
175,58.46625,50.98875,48.16128452
176,53.5325,46.1175,49.01762619
177,49.9475,41.84625,36.6870625
178,40.085,32.0325,50.62625714
179,40.1175,33.2125,44.29710238
180,43.685,38.195,41.29884556
181,48.81625,44.02875,41.14867068
182,44.66125,39.8725,48.44887827
183,56.355,52.09125,44.7149256
184,62.93375,59.37125,37.91056147
185,47.175,41.5225,48.53579702
186,59.52875,54.2825,39.72684048
187,53.6025,48.0475,43.38525982
188,59.1275,54.52625,47.7091756
189,59.9025,55.32125,38.34155595
190,50.79,46.605,41.53394643
191,57.53,54,58.29995179
192,68.61875,64.17875,48.31301786
193,58.82875,52.88,35.6930628
194,53.195,46.94125,47.39145667
195,57.6375,51.6,55.8482122
196,66.775,60.2825,53.93630774
197,64.3275,59.6075,50.91491512
198,61.3725,56.6375,61.78996639
199,63.32,57.9975,50.96777381
200,62.18,57.1975,57.70701042
201,58.8075,54.96625,67.57206131
202,63.44,60.2625,64.82659856
203,68.8225,64.655,60.75550643
204,64.08,59.87625,59.85101756
205,62.06125,59.99125,53.28655982
206,58.7575,55.96125,62.7595631
207,66.7,65.49875,71.12763006
208,62.405,59.5775,47.83415682
209,60.12875,57.81125,62.96116402
210,56.5875,52.15125,119.7398169
211,67.35375,64.92,59.41542917
212,48.89875,45.5725,38.07921998
213,32.54,29.165,52.48017054
214,56.48875,56.195,60.36155476
215,54.29125,52.81,54.93911875
216,46.23125,44.76125,48.87724135
217,35.4125,33.2425,68.31273293
218,50.465,47.985,56.23249702
219,37.6625,35.23125,58.63929324
220,45.5875,41.80875,46.19586018
221,44.52375,42.8175,59.18371121
222,51.65375,51.02125,47.26360177
223,40.95875,39.815,83.25132597
224,54.74375,53.98,78.75104388
225,56.59875,56.95625,71.84708065
226,45.1225,45.945,63.39134583
227,48.28875,48.81625,58.79671667
228,50.23375,49.77,51.33475744
229,55.59875,55.02625,62.79305923
230,57.6725,56.455,63.06876964
231,44.55375,42.92,54.43699018
232,54.7375,53.8675,60.61702887
233,56.17125,55.9675,53.12151468
234,50.6,50.86375,41.35711786
235,36.96375,36.965,39.95318844
236,42.87625,41.7675,36.59197389
237,44.11125,44.15375,40.80185565
238,52.225,51.20375,47.56341517
239,44.2725,44.48,47.89599167
240,44.38625,43.83625,41.66187262
241,47.2425,46.42375,46.83289483
242,43.61625,44.26875,43.84998333
243,50.295,50.8625,41.76369923
244,39.5525,38.82375,29.27525208
245,28.00875,27.20625,44.52430119
246,37.38375,36.79875,41.06402143
247,47.05875,45.84,39.7201619
248,35.59875,34.84125,34.3056881
249,38.80875,37.88625,36.5207
250,28.89125,27.2575,32.3478378
251,38.2375,35.1825,36.80166667
252,24.49875,22.3325,8.218853571
253,34.755,34.315,16.76890927
254,25.35625,25.705,26.68885753
255,39.12375,38.93375,18.35660655
256,30.3325,30.59875,38.08786177
257,33.5725,34.45,23.11000238
258,30.37,30.39625,21.61109228
259,25.95,26.04,13.47760476
260,29.08625,30.18875,28.9721567
261,27.48,27.86625,24.42692923
262,34.16625,31.875,1.620511171
263,20.195,19.49875,19.70599345
