DOY,ISAMDYN,ISAMBC,Measured
1,-19.14,-19.26,
2,-38.49,-38.68,
3,-18.01,-18.15,
4,-5.14,-5.31,
5,-13.52,-13.71,
6,-2.6,-2.69,
7,-9.46,-9.48,
8,-4.07,-4.21,
9,-1.79,-1.88,
10,-24.19,-24.31,
11,-16.37,-16.46,
12,-1.32,-1.48,
13,-3.77,-4,
14,-12.55,-12.81,
15,-17.6,-17.87,
16,-13.31,-13.47,
17,0.59,0.46,
18,1.67,1.51,
19,1.28,1.1,
20,-3.28,-3.44,
21,-0.5,-0.65,
22,-12.88,-13,
23,-35.18,-35.28,
24,-27.97,-28.06,
25,-17.47,-17.63,
26,-21.05,-21.16,
27,-6.51,-6.61,
28,-3.5,-3.58,
29,2.71,2.61,
30,6.52,6.44,
31,4.61,4.55,
32,-6.05,-6.09,
33,-5.2,-5.27,
34,-12.62,-12.69,
35,-1.94,-2,
36,-1.04,-1.13,
37,-8.31,-8.38,
38,-6.72,-6.78,
39,1.57,1.48,
40,2.58,2.51,
41,2.6,2.56,
42,3.5,3.47,
43,-20.28,-20.31,
44,-13.74,-13.75,
45,-13.21,-13.27,
46,-21.47,-21.54,
47,-26.64,-26.7,
48,-27.23,-27.26,
49,-17.67,-17.72,
50,-11.54,-11.58,
51,-17.46,-17.52,
52,-24.14,-24.2,
53,-12.51,-12.58,
54,-21.86,-21.94,
55,-7.25,-7.34,
56,-1.26,-1.35,
57,-4.67,-4.76,
58,-0.83,-0.9,
59,1.27,1.21,
60,-1.22,-1.27,
61,-9.36,-9.4,
62,-1.38,-1.4,
63,-6.72,-6.77,
64,-9.62,-9.67,
65,-10.93,-10.97,
66,-3.23,-3.27,
67,-4.78,-4.81,
68,2.94,2.94,
69,11.07,11.08,
70,2.26,2.28,
71,-4.63,-4.63,
72,-7.32,-7.33,
73,-0.8,-0.81,
74,-1.09,-1.11,
75,-3.55,-3.56,
76,-7.02,-7.03,
77,-2.31,-2.3,
78,-8.81,-8.81,
79,-0.95,-0.96,
80,2.03,2.03,
81,-3.51,-3.51,
82,-8.93,-8.94,
83,-23.47,-23.49,
84,-11.29,-11.3,
85,-16.01,-15.98,
86,-7.59,-7.59,
87,-5.33,-5.33,
88,-3.05,-3.05,
89,9.44,9.43,
90,4.62,4.61,
91,-8.04,-8.07,
92,3.51,3.46,
93,11.06,11.02,
94,1.38,1.35,
95,-19.82,-19.88,
96,-6.73,-6.79,
97,3.76,3.69,
98,4.98,4.92,
99,10.45,10.39,
100,6.56,6.49,
101,-5.04,-5.1,
102,10.43,10.39,
103,9.82,9.75,
104,14.23,14.19,
105,16.08,16.01,
106,19.72,19.62,
107,10.18,10.06,
108,-3.84,-3.98,
109,2.81,2.69,
110,21.7,21.62,
111,16.36,16.25,
112,16.74,16.57,
113,22.97,22.68,
114,19.46,19.07,
115,14.62,14.13,
116,9.78,9.22,
117,2.59,2.06,
118,-9.9,-10.4,
119,-15.81,-16.32,
120,-13.6,-13.97,
121,3.78,3.3,
122,13.75,13.03,
123,24.05,23.19,
124,-1,-1.67,
125,14.36,13.85,
126,25.99,25.58,
127,30.34,29.97,
128,29.04,28.72,
129,27.66,27.4,
130,30.16,29.89,
131,22.33,52.72,
132,50.32,49.26,
133,81.23,78.1,
134,56.71,56.11,
135,52.75,54.25,
136,104.51,101.99,
137,101.46,98.37,
138,118.6,116.79,
139,100.82,106.97,
140,85.4,90.87,
141,85.35,88.26,
142,99.96,103.36,
143,95.9,96.64,
144,95.25,95.43,
145,104.64,106.78,
146,104.7,107.6,
147,96.66,102.49,
148,73.08,80.31,
149,72.17,75.5,
150,91.84,95.34,
151,82.09,90.13,
152,105.3,107.36,
153,117.42,120.77,
154,115.16,118.99,
155,133.47,148.03,
156,173.24,183.22,
157,138.93,146.79,
158,199.95,208.92,
159,138.36,142.72,
160,144.11,145.99,
161,140.4,137.04,
162,145.99,144.93,
163,137.93,133.85,
164,111.02,106.6,
165,70.05,67.09,
166,84.31,77.91,
167,111,98.87,
168,114.86,109.56,31.06
169,72.44,70.4,39.9
170,93.53,91.92,61.09
171,172.7,167.05,72.48
172,154.19,141.18,101.78
173,126.67,121.72,73.94
174,142.3,125.87,107.37
175,123.16,107.39,83.92
176,161.72,139.51,80.84
177,150.55,124.6,60.6
178,173.96,134.19,76.42
179,151.3,126.36,68.1
180,177.44,156.37,92.15
181,115.43,102.95,80.07
182,138,120.61,59.76
183,119.26,86.25,50.17
184,130.99,78.92,62.12
185,133.74,84.19,58.42
186,156.54,110.05,38.75
187,106.94,63.27,67.67
188,138.61,113.29,21.71
189,100.18,79.13,28.8
190,40.8,20.9,56.66
191,45.98,20.62,2.96
192,148.83,113.19,58.68
193,158.54,125.35,50.18
194,96.82,68.2,71.27
195,91.83,58.81,55.48
196,101.72,67.87,27.26
197,70.79,43.52,47.01
198,35.42,13.62,51.84
199,56.45,39.59,50.53
200,106.32,82.91,52.23
201,102.69,80.39,47.24
202,97.19,75.77,35.23
203,69.25,54.74,48.14
204,60.7,59.19,37.04
205,84.38,84.78,44.97
206,88.64,87.19,44.53
207,76.46,75.13,57.56
208,83.85,87.77,62.94
209,111.52,118.42,47.64
210,112.43,115.56,53.77
211,78.76,73.67,32.68
212,52.51,48.69,27.49
213,39.17,35.98,11.67
214,3.07,-0.95,25.9
215,11.19,5.01,67.63
216,30.39,20.89,60.36
217,74.03,66.62,37.49
218,70.96,71.75,61
219,39.06,40.14,29.23
220,70.73,71.36,16.1
221,32.03,32.12,16.42
222,4.78,5.02,15.86
223,37,37.94,27.31
224,17.42,17.73,24.58
225,39.66,28.2,32.15
226,40.93,36.53,23.13
