DOY,ISAMDYN,Measured
1,0.068125,13.70138889
2,-7.36875,29.87037037
3,-9.235,29.87037037
4,-6.885,29.87037037
5,-10.92625,29.87037037
6,-9.89,11.85648148
7,-7.399375,73.07175926
8,-12.9725,-7.66087963
9,-11.33875,-3.521990741
10,-7.92125,-2.789351852
11,-7.2325,-7.271990741
12,-15.03125,-3.532407407
13,-23.24375,-36.63773148
14,-13.2175,-40.15625
15,-10.583125,-26.12152778
16,-4.11,16.16087963
17,-3.7275,-3.860644444
18,-14.688125,-18.90103807
19,-12.460625,-2.269413916
20,-2.5525,1.737980609
21,-7.220625,13.98373186
22,-11.423125,-2.987596589
23,-13.43,-27.15046296
24,-6.0275,-2.800575027
25,-4.770625,-3.165509259
26,-4.37625,-2.841435185
27,-4.364375,1.923505974
28,-14.115625,-33.97569444
29,-5.826875,-22.5775463
30,-18.443125,-12.28117702
31,-5.94125,-1.471509207
32,-1.3525,3.023148148
33,-1.7075,-0.592853715
34,-10.545625,8.671750854
35,-21.9525,6.968098928
36,-9.705,-9.877406684
37,-16.495,0.761113782
38,-23.696875,4.37326549
39,-19.501875,-11.73348378
40,-19.52375,4.313617549
41,-18.100625,0.905449068
42,-39.349375,-19.27773396
43,-9.913125,0.698399797
44,-16.945,-3.491978352
45,-13.875625,12.22087717
46,-1.12375,15.83257217
47,7.995,25.42825044
48,-11.939375,33.11604618
49,-18.464375,6.937852371
50,-20.07625,1.777616115
51,-29.405625,4.960057098
52,-57.641875,-14.23221999
53,-19.579375,10.80897023
54,-20.938125,11.30515864
55,-13.543125,11.76705839
56,-65.471875,39.13917911
57,-8.838125,12.62432274
58,-11.113125,8.287128146
59,-13.835,12.867652
60,-10.310625,24.48923951
61,-40.66375,5.019559795
62,-9.978125,12.40995216
63,1.3175,27.11155877
64,5.553125,24.53627054
65,2.143125,25.80313298
66,6.716875,27.10767026
67,2.94,18.45233232
68,31.500625,34.66707053
69,22.573125,42.32256796
70,11.215,13.42487049
71,18.58375,22.47041211
72,4.136875,20.49806803
73,2.648125,15.9967344
