DOY,ISAMDYN,Measured
1,-8.122142857,-10.7429062
2,-8.876741071,-8.675817882
3,-11.34168155,-12.67733955
4,-12.47558036,-10.444768
5,-10.15909226,-8.255914368
6,-15.99436012,-12.19478736
7,-15.9325,-14.92429062
8,-15.05191964,-5.201251344
9,-10.89238095,-4.269814608
10,-10.7146875,-11.31509009
11,-10.35334821,-4.709642743
12,-11.36330357,-3.892549486
13,-15.65752976,-9.5504742
14,-9.755833333,-10.34099672
15,-14.71473214,-15.70438487
16,-9.696532738,-4.020939978
17,-9.371071429,2.368138522
18,-5.664107143,-4.359929588
19,-9.958630952,-7.841943442
20,-6.863988095,-5.997900094
21,-11.68022321,-8.590510836
22,-12.04116071,-6.30156055
23,-9.816235119,-5.693369661
24,-11.47059524,-12.94182989
25,-9.141473214,-3.014308113
26,-10.1599256,-2.52657118
27,-14.58690476,-4.698598219
28,-9.466845238,-9.073788478
29,-8.567633929,-4.643790438
30,-12.50458333,-10.71227135
31,-10.05760417,-15.18681441
32,-2.477306548,-8.743519921
33,-9.525997024,-6.113707045
34,-10.08709821,-0.780965913
35,-9.28952381,-3.606111216
36,-0.959598214,-4.028877301
37,-2.323095238,1.899205885
38,-6.466026786,-0.257199576
39,-3.357247024,-3.9596919
40,3.240357143,7.098563297
41,-0.788928571,1.610541509
42,-6.458675595,-3.969189872
43,1.726889881,5.106477886
44,5.46485119,7.761753766
45,1.802157738,7.624671202
46,1.502559524,-2.497586943
47,7.093616071,6.405810217
48,11.41767857,12.84505849
49,0.813571429,9.671744355
50,1.314880952,9.669547106
51,2.657931548,15.07069688
52,-2.640267857,11.55933501
53,1.387261905,11.23705141
54,3.310907738,10.72432122
55,8.582857143,20.08707374
56,2.330833333,17.96431086
57,7.096964286,17.55620072
58,6.080104167,14.60579419
59,5.778675595,12.06726319
60,9.368348214,12.97611945
61,8.934136905,18.85865805
62,12.85379464,15.35627346
63,16.89373512,27.57364105
64,14.08644345,24.50697458
65,18.86355655,24.01099906
66,25.07550595,29.26318073
67,23.4921875,36.17889495
68,15.13674107,26.85973274
69,15.41111607,34.47044106
70,21.58278274,33.93036532
71,19.39004464,28.74923132
72,22.03642857,35.01557207
73,29.29183036,40.52137747
74,32.15970238,33.13561824
75,33.70532738,44.23979461
76,25.22462798,47.98332304
77,27.06129464,43.50416179
78,26.76700893,40.07712691
79,30.10613095,46.75927213
80,36.92800595,55.26109524
81,37.20608631,59.20461032
82,35.25794643,52.59283292
83,39.16008929,56.99971243
84,37.64965774,55.31680411
85,21.62205357,43.48699051
86,29.76330357,42.44572672
87,27.82321429,50.29795919
88,20.38053571,43.89657567
89,24.26401786,37.76160566
90,21.03675595,32.83724493
91,37.01199405,40.9382563
92,41.0739881,52.20055295
93,32.12720238,44.44426561
94,53.33535714,56.36092906
95,60.87221726,63.31126887
96,45.42921131,52.37145365
97,51.0106994,64.1882877
98,59.72309524,74.30201721
99,47.33953869,64.71066568
100,43.97717262,61.61250677
101,39.66528274,57.13717324
102,47.78561012,67.49138149
103,35.71837798,51.82711776
104,52.3800744,63.81335356
105,51.07290179,55.91967315
106,42.86376488,62.6574556
107,40.1152381,70.45949225
108,42.17924107,61.44628851
109,34.32177083,45.17170306
110,58.03650298,68.53981191
111,42.1249256,60.36000899
112,40.60275298,62.44891455
113,49.93778274,71.55234391
114,54.62122024,58.15915128
115,46.11331845,60.36593726
116,49.74866071,63.62730992
117,58.52410714,69.40046116
118,57.13135417,67.16848747
119,45.04636905,64.34568527
120,57.20136905,75.39523148
121,57.44183036,77.86457317
122,48.92066964,61.48260444
123,51.88998512,60.92492381
124,59.44119048,60.5202804
125,48.21831845,59.89116359
126,47.34797619,72.42144944
127,53.4350744,71.7870771
128,46.561875,66.41285069
129,57.59986607,71.15163167
130,25.03675595,62.61333708
131,60.1775744,60.67374392
132,57.19342262,69.2298332
133,54.50727679,73.44519211
134,45.8281994,62.16683785
135,58.34311012,56.06645891
136,65.70220238,85.11016322
137,60.95122024,66.49620121
138,61.28846726,72.78396409
139,56.66363095,83.63754147
140,59.9893006,72.22344469
141,71.35595238,79.97401385
142,68.19324405,102.8961188
143,61.64455357,86.16943592
144,58.07357143,80.40851908
145,41.45639881,68.34980561
146,52.65061012,66.6695824
147,49.4965625,72.73514396
148,46.4655506,66.97264739
149,51.931875,60.49353467
150,70.18166667,73.02697282
151,51.55620536,76.51672004
152,65.32595238,80.34556323
153,73.09123512,84.01692841
154,67.74764881,93.46373749
155,68.8634375,80.57076075
156,64.30613095,80.13557234
157,48.26159226,56.79477685
158,46.37145833,65.75760723
159,54.02900298,65.25555865
160,57.38845238,69.92382211
161,50.69239583,67.61625951
162,55.69543155,61.10610083
163,49.25587798,63.20227131
164,43.39563988,63.27488568
165,44.14802083,50.90433011
166,46.9546131,53.47982998
167,39.59997024,49.70270761
168,43.91239583,51.78795842
169,49.60153274,67.84725947
170,47.54605655,62.72395107
171,39.86651786,52.67288027
172,38.4194494,57.98058961
173,46.9519494,58.83470861
174,39.83287202,48.37986996
175,44.03790179,55.55534815
176,52.84386905,63.16383932
177,65.36645833,73.44022461
178,47.0202381,75.79300021
179,48.74831845,70.71794638
180,39.98989583,60.84234188
181,50.47011905,65.26542365
182,38.66943452,57.6111067
183,42.18949405,57.54111378
184,44.54174107,72.22591992
185,29.03190476,48.30099916
186,45.9096875,56.95791581
187,43.33510417,62.42122753
188,46.2516369,66.59870112
189,50.1488244,64.79826586
190,40.82491071,47.88178055
191,43.58291667,62.76052021
192,48.0409375,61.07832254
193,47.26849702,67.04307175
194,44.27244048,58.68856521
195,46.60483631,51.18050975
196,51.93200893,69.37083754
197,46.41186012,59.23517204
198,45.5860119,55.83788686
199,46.91608631,60.31920833
200,40.55498512,52.28938214
201,37.01811012,56.5929507
202,51.42037202,72.9982923
203,43.14877976,65.32408585
204,50.69372024,62.37801374
205,31.46464286,51.12335928
206,33.09255952,51.15088085
207,32.24330357,46.62472379
208,36.80169643,48.54107982
209,39.74300595,49.22776132
210,36.07657738,41.71114642
211,33.26434524,49.20920118
212,27.05129464,44.45442835
213,33.49174107,50.77252148
214,35.73333333,52.71350224
215,43.37537202,53.20429481
216,32.49931548,45.57667119
217,41.93989583,51.33934728
218,34.57837798,50.69317585
219,28.67034226,41.2523152
220,34.83361607,49.19917629
221,20.809375,39.39653759
222,31.75052083,41.16525332
223,36.97032738,47.00954998
224,32.15864583,46.00010268
225,27.82270833,42.54600091
226,35.02261905,46.02540577
227,33.96181548,50.68445153
228,24.77363095,38.66704421
229,26.97855655,43.87395752
230,26.17058036,42.56673399
231,29.66581845,46.46464201
232,28.56950893,44.36429752
233,30.658125,41.94122406
234,21.97818452,32.85825851
235,27.36263393,28.78226467
236,21.96369048,37.27277591
237,23.79891369,38.89494787
238,14.99552083,37.80606135
239,12.40311012,26.20253039
240,16.78077381,29.83023147
241,17.97885417,32.28042202
242,18.27409226,32.68956179
243,11.68245536,26.03495531
244,16.04074405,25.84652923
245,17.76686012,29.9582371
246,12.52144345,22.56523973
247,22.74605655,32.9544919
248,11.99053571,24.01308823
249,9.589077381,25.94272365
250,12.1678869,26.8698928
251,15.53936012,26.96053319
252,13.78595238,22.81112835
253,9.221949405,9.23167562
254,6.737172619,25.48816863
255,11.29622024,22.89706912
256,6.089181548,16.23142498
257,5.034642857,15.10276242
258,10.11547619,20.68143697
259,11.62857143,19.11404257
260,5.089657738,9.564912548
261,13.1113244,11.1535968
262,12.41349702,10.71357916
263,10.29169643,7.838270722
264,5.4165625,7.304859231
265,5.097395833,9.878974147
266,7.923348214,18.15083023
267,3.851889881,14.64038665
268,2.221264881,8.949327745
269,4.944717262,15.66544403
270,3.453422619,11.91260119
271,4.122797619,8.576386178
272,3.6759375,16.08117333
273,6.164568452,7.859257414
274,-0.246622024,18.3335969
275,3.46422619,11.30424515
276,-2.317321429,10.03415678
277,9.585491071,9.622042652
278,7.304122024,6.941878825
279,8.058571429,11.00859245
280,1.422306548,9.892103209
281,-7.051994048,8.060445522
282,-2.04921131,13.91667098
283,1.587842262,18.57040217
284,-0.024880952,6.782735279
285,-1.256488095,6.966934905
286,-1.79546131,9.478923112
287,-5.551845238,-0.240502746
288,-11.47138393,0.977887547
289,-6.171473214,7.480980065
290,-0.967455357,5.072718564
291,-9.636220238,-15.30778342
292,-1.781056548,-1.945377667
293,2.462574405,-1.780134629
294,3.272708333,7.107347627
295,2.635446429,6.155093081
296,-4.201205357,5.432726042
297,-7.007782738,-2.222866653
298,-4.163363095,4.774445323
299,-3.099434524,1.881389324
300,-7.872529762,1.077059414
301,-9.478244048,2.760877423
302,-4.771592262,-0.390840243
303,-7.089955357,-5.261227598
304,-6.092991071,-5.333032029
305,-6.184568452,-7.412748859
306,-1.707574405,-6.096075469
307,-0.796845238,-0.869076715
308,-2.254672619,-2.251899765
309,-4.119449405,-5.736846764
310,-3.173809524,-2.43833915
311,-1.928407738,-2.731050369
312,-5.457425595,-4.27635196
313,-4.94875,-2.859716786
314,-7.825714286,-4.690751013
315,-7.250401786,-1.269138436
316,-9.953571429,-0.240276403
317,-16.01269345,-5.51136971
318,-14.3038244,-3.482903267
319,-9.259315476,0.361549952
320,-8.020877976,-0.570329602
321,-13.05254464,-1.664064113
322,-10.97959821,-2.729788389
323,-11.39020833,-1.732777451
324,-9.696339286,-1.459712407
325,-16.0678869,-4.161316827
326,-16.16272321,-2.580227417
327,-15.34818452,-1.535572461
328,-9.042127976,1.600158529
329,-5.830267857,-0.849336478
330,-8.041220238,-3.380674435
331,-9.753943452,-0.473294054
332,-12.68162202,-8.847598711
333,-16.32991071,-5.169601761
334,-12.69501488,0.406309379
335,-13.64962798,-3.953053956
336,-12.63849702,-1.626025775
337,-11.56721726,-6.192738684
338,-11.21748512,-8.572706167
339,-12.64139881,-9.431598923
340,-12.90574405,-7.127258931
341,-13.17982143,-5.96516944
342,-14.73360119,-10.3085955
343,-16.80302083,-10.03461788
344,-11.73983631,-5.972700354
345,-11.02915179,-3.990237167
346,-12.64363095,-3.244108897
347,-10.18730655,-0.72453661
348,-12.14370536,-6.897678083
349,-17.71354167,-11.61583291
350,-24.02464286,-19.26519871
351,-20.81337798,-19.99246458
352,-16.5625,-11.07281713
353,-14.30327381,-10.27234452
354,-15.13558036,-7.745869485
355,-12.47080357,-7.359143098
356,-9.537633929,-12.09115651
357,-11.33133929,-8.335871302
358,-11.22873512,-11.14124263
359,-11.42995536,-5.652194063
360,-12.65852679,-5.176686721
361,-14.98605655,-8.311670682
362,-12.65349702,-12.21687998
363,-12.35796131,-9.04960191
364,-7.825952381,-5.433950747
365,-10.34741071,-11.02649674
