DOY,LAI,DOY,Model,MODIS
15,0,1,0,0.036258102
45,0,2,0,0.036258102
75,0,3,0,0.036258102
105,0,4,0,0.036258102
135,0.05,5,0,0.036258102
165,0.08,6,0,0.036258102
195,0.77,7,0,0.036258102
225,1.74,8,0,0.036258102
255,1.1,9,0,0.0362581
285,0.12,10,0,0.036258102
315,0,11,0,0.036258103
345,0,12,0,0.036258102
,,13,0,0.0362581
,,14,0,0.036258102
,,15,0,0.036258103
,,16,0,0.036258102
,,17,0,0.036258102
,,18,0,0.036258102
,,19,0,0.036258102
,,20,0,0.036258102
,,21,0,0.036258102
,,22,0,0.036258102
,,23,0,0.036258102
,,24,0,0.036258102
,,25,0,0.036258102
,,26,0,0.036258102
,,27,0,0.036258102
,,28,0,0.036258102
,,29,0,0.036258102
,,30,0,0.036258102
,,31,0,0.036258102
,,32,0,0.036258102
,,33,0,0.036258103
,,34,0,0.036258102
,,35,0,0.036258102
,,36,0,0.036258102
,,37,0,0.0362581
,,38,0,0.036258102
,,39,0,0.036258102
,,40,0,0.036258103
,,41,0,0.036258103
,,42,0,0.036258102
,,43,0,0.0362581
,,44,0,0.0362581
,,45,0,0.036258102
,,46,0,0.036258102
,,47,0,0.036258102
,,48,0,0.036258102
,,49,0,0.036258102
,,50,0,0.036258102
,,51,0,0.036258102
,,52,0,0.036258102
,,53,0,0.036258102
,,54,0,0.036258102
,,55,0,0.036258102
,,56,0,0.036258102
,,57,0,0.036258102
,,58,0,0.036258102
,,59,0,0.036258102
,,60,0,0.036258102
,,61,0,0.036258102
,,62,0,0.036258102
,,63,0,0.036258102
,,64,0,0.036258102
,,65,0,0.036258102
,,66,0,0.036258102
,,67,0,0.036258102
,,68,0,0.0362581
,,69,0,0.036258102
,,70,0,0.036258103
,,71,0,0.036258102
,,72,0,0.0362581
,,73,0,0.036258102
,,74,0,0.036258103
,,75,0,0.036258102
,,76,0,0.036258102
,,77,0,0.036258102
,,78,0,0.036258102
,,79,0,0.036258102
,,80,0,0.036258102
,,81,0,0.036258102
,,82,0,0.036258102
,,83,0,0.036258102
,,84,0,0.036258102
,,85,0,0.036258102
,,86,0,0.036258102
,,87,0,0.036258102
,,88,0,0.036258102
,,89,0,0.036258102
,,90,0,0.036258102
,,91,0,0.0362581
,,92,0,0.036258102
,,93,0,0.036258103
,,94,0,0.036258102
,,95,0,0.0362581
,,96,0,0.036258102
,,97,0,0.036258103
,,98,0,0.036258102
,,99,0,0.0362581
,,100,0,0.036258102
,,101,0,0.036258103
,,102,0,0.036258102
,,103,0,0.0362581
,,104,0,0.036258102
,,105,0,0.036258103
,,106,0,0.037727441
,,107,0,0.040666126
,,108,0,0.043604806
,,109,0,0.046543491
,,110,0,0.049482171
,,111,0,0.052420856
,,112,0,0.055359536
,,113,0,0.058298221
,,114,0,0.061236906
,,115,0,0.064175586
